,PatternID,Text,Cause,Effect
994,76,"At the planets center lies a dense metallic core. Scientists know that the core is metal because: 1. The density of Earths surface layers is much less than the overall density of the planet, as calculated from the planets rotation.",": 1. The density of Earths surface layers is much less than the overall density of the planet, as calculated from the planets rotation",Scientists know that the core is metal
995,76,"Metals such as iron are magnetic, but rock, which makes up the mantle and crust, is not. Scientists know that the outer core is liquid and the inner core is solid because: 1. S-waves do not go through the outer core.",: 1. S-waves do not go through the outer core,Scientists know that the outer core is liquid and the inner core is solid
996,76, Quick burial is essential because most decay and fragmentation occurs at the surface. Marine animals that die near a river delta may be rapidly buried by river sediments.,most decay and fragmentation occurs at the surface,Quick burial is essential
997,76,"Earths shadow is large enough that a lunar eclipse lasts for hours and can be seen by any part of Earth with a view of the Moon at the time of the eclipse (Figure 1.5). A lunar eclipse does not occur every month because Moons orbit is inclined 5-degrees to Earths orbit, so the two bodies are not in the same plane every month. ",Moons orbit is inclined 5-degrees to Earths orbit,A lunar eclipse does not occur every month
999,76,Many factors influence the climate of a region. The most important factor is latitude because different latitudes receive different amounts of solar radiation. The Equator receives the most solar radiation.,different latitudes receive different amounts of solar radiation,The most important factor is latitude
1000,76,"One way to picture this is to imagine a balloon covered with tiny dots to represent the galaxies. When you inflate the balloon, the dots slowly move away from each other because the rubber stretches in the space between them. If you were standing on one of the dots, you would see the other dots moving away from you.",the rubber stretches in the space between them,"When you inflate the balloon, the dots slowly move away from each other"
1001,76,"Slip can be up or down the fault plane. Slip is relative, because there is usually no way to know whether both sides moved or only one. Faults lie at an angle to the horizontal surface of the Earth.",there is usually no way to know whether both sides moved or only one,Slip is relative
1002,76,"Giant elliptical galaxies, on the other hand, can contain over a trillion stars. Elliptical galaxies are reddish to yellowish in color because they contain mostly old stars. Most elliptical galaxies contain very little gas and dust because the gas and dust have already formed into stars.",they contain mostly old stars,Elliptical galaxies are reddish to yellowish in color
1003,76,"Elliptical galaxies are reddish to yellowish in color because they contain mostly old stars. Most elliptical galaxies contain very little gas and dust because the gas and dust have already formed into stars. However, some elliptical galaxies, such as the one shown in Figure 1.4, contain lots of dust.",the gas and dust have already formed into stars,Most elliptical galaxies contain very little gas and dust
1004,76,"Nearly all glacial ice, 99%, is contained in ice sheets in the polar regions, particularly Antarctica and Greenland. Glaciers often form in the mountains because higher altitudes are colder and more likely to have snow that falls and collects. Every continent, except Australia, hosts at least some glaciers in the high mountains.",higher altitudes are colder and more likely to have snow that falls and collects,Glaciers often form in the mountains
1005,76,Species that can are moving their ranges uphill. Some regions that were already marginal for agriculture are no longer arable because they have become too warm or dry. What are the two major effects being seen in this animation?,they have become too warm or dry,Some regions that were already marginal for agriculture are no longer arable
1006,76,"The distance between the Sun and each of its planets is very large, but the Sun and each of the planets are also very large. Gravity keeps each planet orbiting the Sun because the star and its planets are very large objects. The force of gravity also holds moons in orbit around planets.",the star and its planets are very large objects,Gravity keeps each planet orbiting the Sun
1007,76,"One CFC-12 molecule (a type of CFC) traps 10,600 times as much heat as one CO2. Still, CO2 is a very important greenhouse gas because it is much more abundant in the atmosphere. ",it is much more abundant in the atmosphere,"Still, CO2 is a very important greenhouse gas"
1008,76," Groundwater is a bit safer from pollution than surface water from some types of pollution because some pollutants are filtered out by the rock and soil that water travels through as it travels through the ground or once it is in the aquifer. But rock and soil cant get out everything, depending on the type of rock and soil and on the types of pollutants.",some pollutants are filtered out by the rock and soil that water travels through as it travels through the ground or once it is in the aquifer,Groundwater is a bit safer from pollution than surface water from some types of pollution
1009,76,"Because solar energy continually enters Earths atmosphere and ground surface, is the planet getting hotter? The answer is no (although the next section contains an exception), because energy from Earth escapes into space through the top of the atmosphere. If the amount that exits is equal to the amount that comes in, then average global temperature stays the same.",energy from Earth escapes into space through the top of the atmosphere,The answer is no (although the next section contains an exception)
1010,76, Quick burial is essential because most decay and fragmentation occurs at the surface. Marine animals that die near a river delta may be rapidly buried by river sediments.,most decay and fragmentation occurs at the surface,Quick burial is essential
1011,76,Plant and animal species seeking cooler temperatures will need to move poleward 100 to 150 km (60 to 90 miles) or upward 150 m (500 feet) for each 1.0o C (8o F) rise in global temperature. There will be a tremendous loss of biodiversity because forest species cant migrate that rapidly. Biologists have already documented the extinction of high-altitude species that have nowhere higher to go.,forest species cant migrate that rapidly,There will be a tremendous loss of biodiversity
1012,76,What is the reason for this uncertainty? It is partly because scientists cannot predict exactly how the Earth will respond to increased levels of greenhouses gases. How quickly greenhouse gases continue to build up in the atmosphere depends in part on the choices we make.,scientists cannot predict exactly how the Earth will respond to increased levels of greenhouses gases,It is partly
1014,76,"Earth would be as silent as outer space (explosions in movies about space should be silent). Of course, no insect, bird, or airplane would be able to fly, because there would be no atmosphere to hold it up. Click image to the left or use the URL below.",there would be no atmosphere to hold it up,"Of course, no insect, bird, or airplane would be able to fly"
1015,76,"At the same latitude, the temperature range is smaller in lands nearer the oceans than away from the oceans. Summer temperatures are not as hot, and winter temperatures are not as cold, because water takes a long time to heat up or cool down. ",water takes a long time to heat up or cool down,"Summer temperatures are not as hot, and winter temperatures are not as cold"
1016,76,"The warmer a climate is, the more types of vegetation it will have and the greater the rate of biological weathering (Figure 1.2). This happens because plants and bacteria grow and multiply faster in warmer temperatures. ",plants and bacteria grow and multiply faster in warmer temperatures,This happens
1017,76,"Certain types of rock are very resistant to weathering. Igneous rocks, especially intrusive igneous rocks such as granite, weather slowly because it is hard for water to penetrate them. Other types of rock, such as limestone, are easily weathered because they dissolve in weak acids.",it is hard for water to penetrate them,"Igneous rocks, especially intrusive igneous rocks such as granite, weather slowly"
1018,76,"Igneous rocks, especially intrusive igneous rocks such as granite, weather slowly because it is hard for water to penetrate them. Other types of rock, such as limestone, are easily weathered because they dissolve in weak acids. Rocks that resist weathering remain at the surface and form ridges or hills.",they dissolve in weak acids,"Other types of rock, such as limestone, are easily weathered"
1019,76,Ganymede is not only the biggest moon in the solar system; it is even larger than the planet Mercury! Scientists are particularly interested in Europa because it may be a place to find extraterrestrial life. What features might make a satellite so far from the Sun a candidate for life?,it may be a place to find extraterrestrial life,Scientists are particularly interested in Europa
1020,76,Jupiter is extremely bright in the night sky; only the Moon and Venus are brighter (Figure 1.1). This brightness is all the more impressive because Jupiter is quite far from the Earth 5.20 AUs away. It takes Jupiter about 12 Earth years to orbit once around the Sun.,Jupiter is quite far from the Earth 5.20 AUs away,This brightness is all the more impressive
1021,76,Rocks carried by a glacier are eventually dropped. These glacial erratics are noticeable because they are a different rock type from the surrounding bedrock. ,they are a different rock type from the surrounding bedrock,These glacial erratics are noticeable
1022,76," It was previously believed that water cannot stay in liquid form on Mars because the atmospheric pressure is too low. However, there is a lot of water in the form of ice and even prominent ice caps (Figure 1.4).",the atmospheric pressure is too low,It was previously believed that water cannot stay in liquid form on Mars
1023,76,"In late 2015, NASA confirmed the presence of water on Mars. Scientists think that water once flowed over the Martian surface because there are surface features that look like water-eroded canyons. The presence of water on Mars suggests that it might have been possible for life to exist on Mars in the past.",there are surface features that look like water-eroded canyons,Scientists think that water once flowed over the Martian surface
1024,76,All that is needed is enough heat and/or pressure to alter the existing rocks physical or chemical makeup without melting the rock entirely. Rocks change during metamorphism because the minerals need to be stable under the new temperature and pressure conditions. The need for stability may cause the structure of minerals to rearrange and form new minerals.,the minerals need to be stable under the new temperature and pressure conditions,Rocks change during metamorphism
1025,76,"Although most meteors burn up in the atmosphere, larger meteoroids may strike the Earths surface to create a meteorite. Meteorites are valuable to scientists because they provide clues about our solar system. Many meteorites are from asteroids that formed when the solar system formed (Figure 1.2).",they provide clues about our solar system,Meteorites are valuable to scientists
1026,76,The Milky Way is made of millions of stars along with a lot of gas and dust. It looks different from other galaxies because we are looking at the main disk from within the galaxy. Astronomers estimate that the Milky Way contains 200 to 400 billion stars.,we are looking at the main disk from within the galaxy,It looks different from other galaxies
1027,76,"Even from Earth, the Moon has visible dark areas and light areas. The dark areas are called maria, which means seas because thats what the ancients thought they were. In fact, the maria are not water but solid, flat areas of basaltic lava.",thats what the ancients thought they,"The dark areas are called maria, which means seas"
1028,76,"Neptune, shown in Figure 1.1, is the only major planet that cant be seen from Earth without a telescope. Scientists predicted the existence of Neptune before it was discovered because Uranus did not always appear exactly where it should appear. They knew that the gravitational pull of another planet beyond Uranus must be affecting Uranus orbit.",Uranus did not always appear exactly where it should appear,Scientists predicted the existence of Neptune before it was discovered
1029,76,A natural resource is anything people can use that comes from nature. Energy resources are some of the most important natural resources because everything we do requires energy. Nonrenewable energy resources include fossil fuels such as oil and the radioactive element uranium.,everything we do requires energy,Energy resources are some of the most important natural resources
1030,76,"In a tide pool, as in the photo, what organisms are found where and what specific adaptations do they have to that zone? The mussels on the top left have hard shells for protection and to prevent drying because they are often not covered by water. The sea anemones in the lower right are more often submerged and have strong attachments but can close during low tides.",they are often not covered by water,The mussels on the top left have hard shells for protection and to prevent drying
1031,76,There are similar patches of trash in the gyres of the North Atlantic and Indian oceans. The Southern Hemisphere has less trash buildup because less of the region is continent. ,less of the region is continent,The Southern Hemisphere has less trash buildup
1032,76,"It was not until July 15, nearly three months after the accident, that the well was successfully capped. Estimating the flow of oil into the Gulf from the well was extremely difficult because the leak was so far below the surface. The U.S. government estimates that about 4.9 million barrels entered the Gulf at a rate of 35,000 to 60,000 barrels a day.",the leak was so far below the surface,Estimating the flow of oil into the Gulf from the well was extremely difficult
1033,76,"Dispersal: Oil disperses naturally over time because it mixes with the water. However, such large amounts of oil will take decades to disperse.",it mixes with the water,Oil disperses naturally over time
1034,76,"Chlorofluorocarbons (CFCs) are the most common, but there are others, including halons, methyl bromide, carbon tetrachloride, and methyl chloroform. CFCs were once widely used because they are cheap, nontoxic, nonflammable, and non-reactive. They were used as spray-can propellants, refrigerants, and in many other products.","they are cheap, nontoxic, nonflammable, and non-reactive",CFCs were once widely used
1035,76,"Why do you think there is less ozone loss over the North Pole area? The region of low ozone levels is small because the atmosphere is not as cold and PSCs do not form as readily. Still, springtime ozone levels are relatively low.",the atmosphere is not as cold and PSCs do not form as readily,The region of low ozone levels is small
1036,76,Decreases in the human immune systems ability to fight off infectious diseases. Reduction in crop yields because many plants are sensitive to ultraviolet light. Decreases in phytoplankton productivity.,many plants are sensitive to ultraviolet light,Reduction in crop yields
1037,76,"To separate the different types of hydrocarbons in crude oil for different uses, the crude oil must be refined in refineries like the one shown in Figure 1.2. Refining is possible because each hydrocarbon in crude oil boils at a different temperature. When the oil is boiled in the refinery, separate equipment collects the different compounds.",each hydrocarbon in crude oil boils at a different temperature,Refining is possible
1038,76, Oil is a liquid fossil fuel that is extremely useful because it can be transported easily and can be used in cars and other vehicles. Oil is currently the single largest source of energy in the world.,it can be transported easily and can be used in cars and other vehicles,Oil is a liquid fossil fuel that is extremely useful
1039,76,"It turns out that you have plenty of flour and other ingredients, but only two eggs. You can make only one batch of cookies, because eggs are the limiting factor. But then your neighbor comes over with a dozen eggs.",eggs are the limiting factor,You can make only one batch of cookies
1040,76,"Sample 2 is an andesite, a rock that cooled rapidly from a very similar magma that erupted onto Earths surface. A few rocks are not made of minerals because the material they are made of does not fit the definition of a mineral. Coal, for example, is made of organic material, which is not a mineral.",the material they are made of does not fit the definition of a mineral,A few rocks are not made of minerals
1041,76, The water that comes out of our faucets is safe because it has gone through a series of treatment and purification processes to remove contaminants. Those of us who are fortunate enough to always be able to get clean water from a tap in our home may have trouble imagining life in a country that cannot afford the technology to treat and purify water.,it has gone through a series of treatment and purification processes to remove contaminants,The water that comes out of our faucets is safe
1042,76,"In 1659, the Dutch astronomer Christian Huygens realized that the features were rings (Figure 1.2). Saturns rings circle the planets equator and appear tilted because Saturn itself is tilted about 27 degrees. The rings do not touch the planet.",Saturn itself is tilted about 27 degrees,Saturns rings circle the planets equator and appear tilted
1043,76,"Saturns rings are made of particles of water and ice, with some dust and rocks (Figure 1.3). There are several gaps in the rings that scientists think have originated because the material was cleared out by the gravitational pull within the rings, or by the gravitational forces of Saturn and of moons outside the rings. The rings were likely formed by the breakup of one of Saturns moons or from material that never accreted into the planet when Saturn originally formed.","the material was cleared out by the gravitational pull within the rings, or by the gravitational forces of Saturn and of moons outside the rings",There are several gaps in the rings that scientists think have originated
1044,76,Titan is even larger than the planet Mercury. Scientists are interested in Titan because its atmosphere is similar to what Earths was like before life developed. Nitrogen is dominant and methane is the second most abundant gas.,its atmosphere is similar to what Earths was like before life developed,Scientists are interested in Titan
1045,76,"A model that can successfully predict the present is more likely to be accurate when predicting the future. Many models are created on computers because only computers can handle and manipulate such enormous amounts of data. For example, climate models are very useful for trying to determine what types of changes we can expect as the composition of the atmosphere changes.",only computers can handle and manipulate such enormous amounts of data,Many models are created on computers
1046,76,"If the oceanic crust reaches a deep sea trench, it sinks into the trench and is lost into the mantle. The oldest crust is coldest and lies deepest in the ocean because it is less buoyant than the hot new crust. Hess could also use seafloor spreading to explain the flat topped guyots.",it is less buoyant than the hot new crust,The oldest crust is coldest and lies deepest in the ocean
1047,76," P-waves and S-waves are known as body waves because they move through the solid body of the Earth. P-waves travel through solids, liquids, and gases.",they move through the solid body of the Earth,P-waves and S-waves are known as body waves
1049,76,"Sometimes ash and gas from a large volcanic eruption may burst into the stratosphere. Once in the stratosphere, it remains suspended there for many years because there is so little mixing between the two layers. ",there is,"Once in the stratosphere, it remains suspended there for many years"
1050,76,"The creation of the ozone molecule releases heat. Because warmer, less dense air sits over cooler, denser air, air in the stratosphere is stable. As a result, there is little mixing of air within the layer.","warmer, less dense air sits over cooler, denser air, air in the stratosphere is stable",The creation of the ozone molecule releases heat
1051,76,"This is a natural cycle that leaves some ozone in the stratosphere. The ozone layer is extremely important because ozone gas in the stratosphere absorbs most of the Suns harmful ultraviolet (UV) radiation. Because of this, the ozone layer protects life on Earth.",ozone gas in the stratosphere absorbs most of the Suns harmful ultraviolet (UV) radiation,The ozone layer is extremely important
1052,76,"Supervolcano eruptions are extremely rare in Earths history. Its a good thing because they are unimaginably large. A supervolcano must erupt more than 1,000 cubic km (240 cubic miles) of material, compared with 1.2 km3 for Mount St. Helens or 25 km3 for Mount Pinatubo, a large eruption in the Philippines in 1991.",they are unimaginably large,eruptions are extremely rare in Earths history. Its a good thing
1053,76,"A solar flare or coronal mass ejection releases streams of highly energetic particles that make up the solar wind. The solar wind can be dangerous to spacecraft and astronauts because it sends out large amounts of radiation that can harm the human body. Solar flares have knocked out entire power grids and disturbed radio, satellite, and cell phone communications.",it sends out large amounts of radiation that can harm the human body,The solar wind can be dangerous to spacecraft and astronauts
1054,76,This group of stars are called red giants. They are brighter than their temperature would predict because they are much larger than stars in the main sequence. These stars have expanded to several thousand times the size of stars in the main sequence.,they are much larger than stars in the main sequence,They are brighter than their temperature would predict
1055,76,"Galileo used his telescope to show that Venus, like the moon, went through a complete set of phases. This observation was extremely important because it was the first observation that was consistent with the Copernican system but not the Ptolemaic system. In the Ptolemaic system, Venus should always be in crescent phase as viewed from the Earth because the sun is beyond Venus, but in the Copernican system Venus should exhibit a complete set of phases over time as viewed from the Earth because it is illuminated from the center of its orbit.",it was the first observation that was consistent with the Copernican system but not the Ptolemaic system,This observation was extremely important
1056,76,"This observation was extremely important because it was the first observation that was consistent with the Copernican system but not the Ptolemaic system. In the Ptolemaic system, Venus should always be in crescent phase as viewed from the Earth because the sun is beyond Venus, but in the Copernican system Venus should exhibit a complete set of phases over time as viewed from the Earth because it is illuminated from the center of its orbit. It is important to note that this was the first empirical evidence (coming almost a century after Copernicus) that allowed a definitive test of the two models.",it is illuminated from the center of its orbit,but in the Copernican system Venus should exhibit a complete set of phases over time as viewed from the Earth
1057,76,"This came to be called The Principal of Uniform Circular Motion. Aristotle and his ideas became very important because they became incorporated into the Catholic Churchs theology in the twelfth century by Thomas Aquinas. In the early 16th century, the Church banned new interpretations of scripture and this included a ban on ideas of a moving earth.",they became incorporated into the Catholic Churchs theology in the twelfth century by Thomas Aquinas,Aristotle and his ideas became very important
1058,76,"Rock, soil, and water on Earth absorb the Suns light and radiate it back into the atmosphere as heat, so there is more heat near the surface. The temperature is also higher near the surface because gravity pulls in more gases. The greater density of gases causes the temperature to rise.",gravity pulls in more gases,The temperature is also higher near the surface
1059,76,"The space is later filled with other sediments to form a matching cast within the mold that is the shape of the original organism or part. Many mollusks (clams, snails, octopi, and squid) are found as molds and casts because their shells dissolve easily. ",their shells dissolve easily,"Many mollusks (clams, snails, octopi, and squid) are found as molds and casts"
1060,76,All of these methods waste water. Between 15% and 36% percent of the water never reaches the crops because it evaporates or leaves the fields as runoff. Water that runs off a field often takes valuable soil with it.,it evaporates or leaves the fields as runoff,Between 15% and 36% percent of the water never reaches the crops
1061,76,"Still, we can piece together a few things. On Earth, volcanism is generated because the planets interior is hot. Much of the volcanic activity is caused by plate tectonic activity.",the planets interior is hot,"On Earth, volcanism is generated"
1062,76, Roundworms have a round body because they have a partial fluid-filled body cavity (pseudocoelom). This is one way that roundworms differ from flatworms.,they have a partial fluid-filled body cavity (pseudocoelom),Roundworms have a round body
1063,76, Flatworms have a flat body because they lack a fluid-filled body cavity. They also have an incomplete digestive system with a single opening.,they lack a fluid-filled body cavity,Flatworms have a flat body
1064,76,Reptiles were the first vertebrates that did not need water to reproduce. Thats because they laid waterproof amniotic eggs. These eggs allowed the embryo inside to breathe without drying out.,they laid waterproof amniotic eggs,Reptiles were the first vertebrates that did not need water to reproduce. Thats
1065,76,Protecting your skin in these ways will reduce damage to your skin by ultraviolet light. This is important because skin that has been damaged by ultraviolet light is at greater risk of developing skin cancer. This is true whether the damage is due to sunlight or the light in tanning beds.,skin that has been damaged by ultraviolet light is at greater risk of developing skin cancer,This is important
1066,76," Osteoporosis is a disease in which the bones become porous and weak because they do not contain enough calcium. The graph in Figure 16.14 shows how the mass of calcium in bone peaks around age 30 and declines after that, especially in women.",they do not contain enough calcium,Osteoporosis is a disease in which the bones become porous and weak
1067,76,"Cardiac muscle is found only in the walls of the heart. It is striated, or striped, because its muscle fibers are arranged in bundles. Contractions of cardiac muscle are involuntary.",its muscle fibers are arranged in bundles,"It is striated, or striped"
1068,76,Smooth muscle is found in the walls of other internal organs such as the stomach. It isnt striated because its muscle fibers are arranged in sheets rather than bundles. Contractions of smooth muscle are involuntary.,its muscle fibers are arranged in sheets rather than bundles,It isnt striated
1069,76,Skeletal muscle is attached to the bones of the skeleton. It is striated like cardiac muscle because its muscle fibers are arranged in bundles. Contractions of skeletal muscle are voluntary.,its muscle fibers are arranged in bundles,It is striated like cardiac muscle
1070,76, Water is essential to life because chemical reactions within cells take place in water. Most people can survive only a few days without consuming water to replace their water losses.,chemical reactions within cells take place in water,Water is essential to life
1071,76," Hemophilia is a genetic disorder in which blood fails to clot properly because a normal clotting factor in the blood is lacking. In people with hemophilia, even a minor injury can cause a life-threatening loss of blood.",a normal clotting factor in the blood is lacking,Hemophilia is a genetic disorder in which blood fails to clot properly
1072,76,Most cases of hemophilia are caused by a recessive gene on the X chromosome. The disorder is expressed much more commonly in males because they have just one X chromosome. ,they have just one X chromosome,The disorder is expressed much more commonly in males
1073,76,Sickle-Cell Disease is another genetic disorder of the blood. It is more common in people with African origins because it helps protect against malaria. Sickle-cell disease occurs in people who inherit two copies of the recessive mutant gene for hemoglobin.,it helps protect against malaria,It is more common in people with African origins
1074,76,The messages carried by neurons are called nerve impulses. A nerve impulse can travel very quickly because it is an electrical signal. Think about flipping on a light switch when you enter a room.,it is an electrical signal,A nerve impulse can travel very quickly
1075,76,"The function of the eye is to focus light and form images. We see some objects, such as stars and light bulbs, because they give off their own light. However, we see most objects because they reflect light from another source such as the sun.",they give off their own light,"We see some objects, such as stars and light bulbs"
1076,76,"We see some objects, such as stars and light bulbs, because they give off their own light. However, we see most objects because they reflect light from another source such as the sun. We form images of the objects when some of the reflected light enters our eyes.",they reflect light from another source such as the sun,"However, we see most objects"
1077,76,"People with myopia can see nearby objects clearly, but distant objects appear blurry. Myopia occurs when images focus in front of the retina because the eyeball is too long. This vision problem can be corrected with concave lenses, which curve inward.",the eyeball is too long,Myopia occurs when images focus in front of the retina
1078,76,"People with hyperopia can see distant objects clearly, but nearby objects appear blurry. Hyperopia occurs when images focus in back of the retina because the eyeball is too short. This vision problem can be corrected with convex lenses, which curve outward.",the eyeball is too short,Hyperopia occurs when images focus in back of the retina
1079,76,"Unlike many other animals, human beings and other primates normally see the world around them in three dimen-sions. Thats because we have two eyes that face the same direction but are a few inches apart.",we have two eyes that face the same direction but,"Unlike many other animals, human beings and other primates normally see the world around them in three dimen-sions. Thats"
1080,76,"An endocrine disease usually involves the secretion of too much or not enough hormone by an endocrine gland. This may happen because the gland develops an abnormal lump of cells called a tumor. For example, a tumor of the pituitary gland can cause secretion of too much growth hormone.",the gland develops an abnormal lump of cells called a tumor,This may happen
1081,76,"A target cell is the type of cell on which a given endocrine hormone has an effect. A target cell is affected by a given hormone because it has proteins on its surface to which the hormone can bind. When the hormone binds to target cell proteins, it causes changes inside the cell.",it has proteins on its surface to which the hormone can bind,A target cell is affected by a given hormone
1082,76,"This type of diabetes usually develops in adulthood. However, it is becoming more common in teens and children because more young people are overweight now than ever before. You can greatly reduce your risk of developing type 2 diabetes by maintaining a healthy body weight.",more young people are overweight now than ever before,"However, it is becoming more common in teens and children"
1083,76,She also must provide all the nutrients and other substances needed for normal growth and development. Most nutrients are needed in greater amounts by a pregnant woman because she is literally eating for two people. Thats why its important for a woman to eat plenty of nutritious foods during pregnancy.,she is literally eating for two people,Most nutrients are needed in greater amounts by a pregnant woman
1084,76,The vaccine is recommended for boys and girls starting at 11 or 12 years of age. Its important to prevent HPV infections because they may lead to cancer later in life. ,they may lead to cancer later in life,Its important to prevent HPV infections
1085,76,"If you dont have any symptoms, then you dont have an STI. Getting STIs is no big deal, because they can be cured with medicines. Fact",they can be cured with medicines,Getting STIs is no big deal
1086,76,It also allowed people to settle down in villages and cities for the first time. Birth rates went up because there was more food and settled life had other advantages. Death rates also rose because of crowded living conditions and diseases that spread from domestic animals.,there was more food and settled life had other advantages,Birth rates went up
1087,76,These populations seem to be stuck in Stage 2 or 3 of the demographic transition. They have high population growth rates because low death rates are not matched by equally low birth rates. Whether these populations will ever enter Stage 4 and attain very low rates of population growth is uncertain.,low death rates are not matched by equally low birth rates,They have high population growth rates
1088,76,"Before long, birth rates also started to fall. People started having fewer children because large families became too expensive. For example, with better farming machines, farm families no longer needed as many children to work in the fields.",large families became too expensive,People started having fewer children
1089,76,The rate of growth of a population may be positive or negative. A positive growth rate means that the population is increasing in size because more people are being added than lost. A negative growth rate means that the population is decreasing in size because more people are being lost than added.,more people are being added than lost,A positive growth rate means that the population is increasing in size
1090,76,A positive growth rate means that the population is increasing in size because more people are being added than lost. A negative growth rate means that the population is decreasing in size because more people are being lost than added. Populations may show different patterns of growth.,more people are being lost than added,A negative growth rate means that the population is decreasing in size
1091,76,"You can see an example of a population pyramid in Figure 23.5. The graph in the figure actually has a pyramid shape because the bars become narrower from younger to older ages. However, this is not always the case.",the bars become narrower from younger to older ages,The graph in the figure actually has a pyramid shape
1092,76,"They are in no danger of being used up. Metals and some other minerals are considered renewable as well because they are not destroyed when they are used. Instead, they can be recycled and used over and over again.",they are not destroyed when they are used,Metals and some other minerals are considered renewable as well
1093,76,This occurs when the cells are working very hard. They use fermentation because they cant get oxygen fast enough for aerobic respiration to supply them with all the energy they need. The muscle cells of the hurdlers in Figure 4.15 are using lactic acid fermentation by the time the athletes reach finish line.,they cant get oxygen fast enough for aerobic respiration to supply them with all the energy they need,They use fermentation
1094,76,"If your appendix becomes infected, a surgeon can remove it. You wont miss it because it no longer has any purpose in the human body. ",it no longer has any purpose in the human body,You wont miss it
1095,76,Sometimes two species evolve the same traits. It happens because they live in similar habitats. This is called convergent evolution.,they live in similar habitats,It happens
1096,76,"The smaller the population is, the more allele frequencies may drift. Natural selection is a change in allele frequencies that occurs because some genotypes are more fit than others. Genotypes with greater fitness produce more offspring and pass more copies of their alleles to the next generation.",some genotypes are more fit than others,Natural selection is a change in allele frequencies that occurs
1097,76,"Recall that terrestrial biomes are defined by their climate. Thats because plants and animals are adapted for certain amounts of temperature and moisture. However, would aquatic biomes be classified in the same way?",plants and animals are adapted for certain amounts of temperature and moisture,biomes are defined by their climate. Thats
1098,76,"An example of one of these chemicals broken down by bacteria is nitrogen-containing ammonia. These bacteria are important because they help cycle nitrogen through the environ-ment for other living things to use. Nitrogen cannot be made by living organisms, so it must be continually recycled.",they help cycle nitrogen through the environ,These bacteria are important
1099,76,People with type AB blood can receive any ABO blood type. People with type AB blood are called universal recipients because they can receive any blood type. The antigens and antibodies that define blood type are listed as follows (Table 1.1).,they can receive any blood type,People with type AB blood are called universal recipients
1100,76,"Most people with coronary heart disease often have no symptoms for many years until they have a heart attack. A heart attack happens when the blood cannot reach the heart because a blood vessel is blocked. If cardiac muscle is starved of oxygen for more than roughly five minutes, it will die.",a blood vessel is blocked,A heart attack happens when the blood cannot reach the heart
1102,76,"The lactic acid causes the proteins in milk to thicken. Lactic acid also causes tooth decay, because bacteria use the sugars in your mouth for energy. Pictured below are some products of fermentation (Figure 1.1).",bacteria use the sugars in your mouth for energy,Lactic acid also causes tooth decay
1103,76,"One type of worm is the flatworm. Worms in the phylum Platyhelminthes are called flatworms because they have flattened bodies. There are more than 18,500 known species of flatworms.",they have flattened bodies,Worms in the phylum Platyhelminthes are called flatworms
1104,76,"A ventricle is one of the two muscular V-shaped chambers that pump blood out of the heart. You can remember they are called ventricles because they are shaped like a ""V."" The atria receive the blood, and the ventricles pump the blood out of the heart.","they are shaped like a ""V",You can remember they are called ventricles
1105,76, Bacteria are important in practically all ecosystems because many bacteria are decomposers. They break down dead materials and waste products and recycle nutrients back into the environment.,many bacteria are decomposers,Bacteria are important in practically all ecosystems
1106,76,"Without helper T cells, the immune system is unable to protect the body. The infected person cannot fight infections and other diseases because they do not have T cells. This is why people do not die from HIV.",they do not have T cells,The infected person cannot fight infections and other diseases
1107,76,"This is why people do not die from HIV. Instead, they die from another illness, like the common cold, that they cannot fight because they do not have helper T cells. Medications can slow down the increase of viruses in the blood.",they do not have helper T cells,"Instead, they die from another illness, like the common cold, that they cannot fight"
1108,76,"You may have noticed that if you are slightly dehydrated, your urine is darker. Thats because the urine is more concentrated and less water is mixed in with it. ",the urine is more concentrated and less water is mixed in with it,"may have noticed that if you are slightly dehydrated, your urine is darker. Thats"
1109,76,"Spongy bone is found at the center of the bone and is lighter and more porous than compact bone. Bones look tough, shiny, and white because they are covered by a layer called the periosteum. Many bones also contain a soft connective tissue called bone marrow in the pores of the spongy bone.",they are covered by a layer called the periosteum,"Bones look tough, shiny, and white"
1110,76, Keeping your skin clean is important because dirty skin is more prone to infection. Bathing every day helps to keep your skin clean and healthy.,dirty skin is more prone to infection,Keeping your skin clean is important
1111,76,"If the kidneys remove less water from the blood, what will the urine look like? It will look darker, because there is less water in it. When a person drinks a lot of water, then there will be a lot of water in the blood.",there is less water in it,It will look darker
1112,76,The water and other fluids you drink every day help to replace the lost water. This water ends up circulating in the blood because blood plasma is mostly water. ,blood plasma is mostly water,This water ends up circulating in the blood
1113,76," If a single base is deleted (called a deletion, which is also a point mutation), there can be huge effects on the organism, because this may cause a frameshift mutation. Remember that the bases in the mRNA are read in groups of three by the tRNA.",this may cause a frameshift mutation,"If a single base is deleted (called a deletion, which is also a point mutation), there can be huge effects on the organism"
1114,76,"Muscle fibers are made mostly of protein. Its important for you and other animals to eat food with protein, because we cannot make certain amino acids on our own. You can get proteins from plant sources, such as beans, and from animal sources, like milk or meat.",we cannot make certain amino acids on our own,Its important for you and other animals to eat food with protein
1115,76,"Living things are made up of very large molecules. These large molecules are called macromolecules because macro means large; they are made by smaller molecules bonding together. Our body gets these smaller molecules, the ""building blocks"" or monomers, of organic molecules from the food we eat.",macro means large; they are made by smaller molecules bonding together,These large molecules are called macromolecules
