,Unnamed: 0,Unnamed: 0.1,PatternID,Text,Cause,Effect,cause_question,effect_question
928,928,1088,76,"Before long, birth rates also started to fall. People started having fewer children because large families became too expensive. For example, with better farming machines, farm families no longer needed as many children to work in the fields.",large families became too expensive,People started having fewer children,"why did people start having fewer children ?
","what happened when large families became too expensive ?
"
929,929,1089,76,The rate of growth of a population may be positive or negative. A positive growth rate means that the population is increasing in size because more people are being added than lost. A negative growth rate means that the population is decreasing in size because more people are being lost than added.,more people are being added than lost,A positive growth rate means that the population is increasing in size,"why is a population increasing in size ?
","what happens when more people are being added than lost ?
"
930,930,1090,76,A positive growth rate means that the population is increasing in size because more people are being added than lost. A negative growth rate means that the population is decreasing in size because more people are being lost than added. Populations may show different patterns of growth.,more people are being lost than added,A negative growth rate means that the population is decreasing in size,"why is the population increasing in size in a positive growth rate ?
","what happens when more people are being added than lost ?
"
931,931,1091,76,"You can see an example of a population pyramid in Figure 23.5. The graph in the figure actually has a pyramid shape because the bars become narrower from younger to older ages. However, this is not always the case.",the bars become narrower from younger to older ages,The graph in the figure actually has a pyramid shape,"why does the graph in the figure have a pyramid shape ?
","what happens when the bars become narrower from younger to older ages ?
"
932,932,1092,76,"They are in no danger of being used up. Metals and some other minerals are considered renewable as well because they are not destroyed when they are used. Instead, they can be recycled and used over and over again.",they are not destroyed when they are used,Metals and some other minerals are considered renewable as well,"why are metals and some other minerals considered renewable ?
","why are metals not destroyed when they are used ?
"
933,933,1093,76,This occurs when the cells are working very hard. They use fermentation because they cant get oxygen fast enough for aerobic respiration to supply them with all the energy they need. The muscle cells of the hurdlers in Figure 4.15 are using lactic acid fermentation by the time the athletes reach finish line.,they cant get oxygen fast enough for aerobic respiration to supply them with all the energy they need,They use fermentation,"why do the cells use fermentation ?
","why do the cells work very hard ?
"
934,934,1094,76,"If your appendix becomes infected, a surgeon can remove it. You wont miss it because it no longer has any purpose in the human body. ",it no longer has any purpose in the human body,You wont miss it,"why can ' t you miss it ?
","why can a surgeon remove your appendix if it becomes infected ?
"
935,935,1095,76,Sometimes two species evolve the same traits. It happens because they live in similar habitats. This is called convergent evolution.,they live in similar habitats,It happens,"why do two species evolve the same traits ?
","why do two species evolve the same traits ?
"
936,936,1096,76,"The smaller the population is, the more allele frequencies may drift. Natural selection is a change in allele frequencies that occurs because some genotypes are more fit than others. Genotypes with greater fitness produce more offspring and pass more copies of their alleles to the next generation.",some genotypes are more fit than others,Natural selection is a change in allele frequencies that occurs,"why does natural selection occur ?
","what happens when some genotypes are more fit than others ?
"
937,937,1097,76,"Recall that terrestrial biomes are defined by their climate. Thats because plants and animals are adapted for certain amounts of temperature and moisture. However, would aquatic biomes be classified in the same way?",plants and animals are adapted for certain amounts of temperature and moisture,biomes are defined by their climate. Thats,"why are terrestrial biomes defined by their climate ?
","why are terrestrial biomes defined ?
"
938,938,1098,76,"An example of one of these chemicals broken down by bacteria is nitrogen-containing ammonia. These bacteria are important because they help cycle nitrogen through the environ-ment for other living things to use. Nitrogen cannot be made by living organisms, so it must be continually recycled.",they help cycle nitrogen through the environ,These bacteria are important,"why are these bacteria important ?
","why is nitrogen - containing ammonia important ?
"
939,939,1099,76,People with type AB blood can receive any ABO blood type. People with type AB blood are called universal recipients because they can receive any blood type. The antigens and antibodies that define blood type are listed as follows (Table 1.1).,they can receive any blood type,People with type AB blood are called universal recipients,"why are people with type ab blood called universal recipients ?
","why can people with type ab blood receive any blood type ?
"
940,940,1100,76,"Most people with coronary heart disease often have no symptoms for many years until they have a heart attack. A heart attack happens when the blood cannot reach the heart because a blood vessel is blocked. If cardiac muscle is starved of oxygen for more than roughly five minutes, it will die.",a blood vessel is blocked,A heart attack happens when the blood cannot reach the heart,"why does the blood not reach the heart ?
","what happens when a blood vessel is blocked ?
"
941,941,1102,76,"The lactic acid causes the proteins in milk to thicken. Lactic acid also causes tooth decay, because bacteria use the sugars in your mouth for energy. Pictured below are some products of fermentation (Figure 1.1).",bacteria use the sugars in your mouth for energy,Lactic acid also causes tooth decay,"why does lactic acid cause tooth decay ?
","what happens when bacteria use the sugars in your mouth for energy ?
"
942,942,1103,76,"One type of worm is the flatworm. Worms in the phylum Platyhelminthes are called flatworms because they have flattened bodies. There are more than 18,500 known species of flatworms.",they have flattened bodies,Worms in the phylum Platyhelminthes are called flatworms,"why are worms in the phylum platyhelminthes called flatworms ?
","why are flatworms called flatworm ?
"
943,943,1104,76,"A ventricle is one of the two muscular V-shaped chambers that pump blood out of the heart. You can remember they are called ventricles because they are shaped like a ""V."" The atria receive the blood, and the ventricles pump the blood out of the heart.","they are shaped like a ""V",You can remember they are called ventricles,"why are they called ventricles ?
","why are the ventricles called a ventricle ?
"
944,944,1105,76, Bacteria are important in practically all ecosystems because many bacteria are decomposers. They break down dead materials and waste products and recycle nutrients back into the environment.,many bacteria are decomposers,Bacteria are important in practically all ecosystems,"why are bacteria important in practically all ecosystems ?
","why are many bacteria decomposers ?
"
945,945,1106,76,"Without helper T cells, the immune system is unable to protect the body. The infected person cannot fight infections and other diseases because they do not have T cells. This is why people do not die from HIV.",they do not have T cells,The infected person cannot fight infections and other diseases,"why can the infected person not fight infections and other diseases ?
","why do people not die from hiv ?
"
946,946,1107,76,"This is why people do not die from HIV. Instead, they die from another illness, like the common cold, that they cannot fight because they do not have helper T cells. Medications can slow down the increase of viruses in the blood.",they do not have helper T cells,"Instead, they die from another illness, like the common cold, that they cannot fight","why can people not fight the common cold ?
","why do people not die from hiv ?
"
947,947,1108,76,"You may have noticed that if you are slightly dehydrated, your urine is darker. Thats because the urine is more concentrated and less water is mixed in with it. ",the urine is more concentrated and less water is mixed in with it,"may have noticed that if you are slightly dehydrated, your urine is darker. Thats","why is your urine darker if you are slightly dehydrated ?
","why is the urine darker if you are slightly dehydrated ?
"
948,948,1109,76,"Spongy bone is found at the center of the bone and is lighter and more porous than compact bone. Bones look tough, shiny, and white because they are covered by a layer called the periosteum. Many bones also contain a soft connective tissue called bone marrow in the pores of the spongy bone.",they are covered by a layer called the periosteum,"Bones look tough, shiny, and white","why do bones look tough , shiny and white ?
","why are bones covered by the periosteum ?
"
949,949,1110,76, Keeping your skin clean is important because dirty skin is more prone to infection. Bathing every day helps to keep your skin clean and healthy.,dirty skin is more prone to infection,Keeping your skin clean is important,"why is keeping your skin clean important ?
","why is dirty skin more prone to infection ?
"
950,950,1111,76,"If the kidneys remove less water from the blood, what will the urine look like? It will look darker, because there is less water in it. When a person drinks a lot of water, then there will be a lot of water in the blood.",there is less water in it,It will look darker,"why will the urine look darker if the kidneys remove less water from the blood ?
","what will the urine look like if there is less water in it ?
"
951,951,1112,76,The water and other fluids you drink every day help to replace the lost water. This water ends up circulating in the blood because blood plasma is mostly water. ,blood plasma is mostly water,This water ends up circulating in the blood,"why does water end up circulating in the blood ?
","what happens to the water because blood plasma is mostly water ?
"
952,952,1113,76," If a single base is deleted (called a deletion, which is also a point mutation), there can be huge effects on the organism, because this may cause a frameshift mutation. Remember that the bases in the mRNA are read in groups of three by the tRNA.",this may cause a frameshift mutation,"If a single base is deleted (called a deletion, which is also a point mutation), there can be huge effects on the organism","why can there be huge effects on the organism if a single base is deleted ?
","what can cause a frameshift mutation ?
"
953,953,1114,76,"Muscle fibers are made mostly of protein. Its important for you and other animals to eat food with protein, because we cannot make certain amino acids on our own. You can get proteins from plant sources, such as beans, and from animal sources, like milk or meat.",we cannot make certain amino acids on our own,Its important for you and other animals to eat food with protein,"why is it important to eat food with protein ?
","why are muscle fibers important ?
"
954,954,1115,76,"Living things are made up of very large molecules. These large molecules are called macromolecules because macro means large; they are made by smaller molecules bonding together. Our body gets these smaller molecules, the ""building blocks"" or monomers, of organic molecules from the food we eat.",macro means large; they are made by smaller molecules bonding together,These large molecules are called macromolecules,"why are these large molecules called macromolecules ?
","why are living things made up of very large molecules ?
"
955,955,1116,76,"(Figure 1.4). Antibiotics do not affect viruses, because antibiotics only kill bacteria. But medicines called antiviral drugs can treat many diseases caused by viruses.",antibiotics only kill bacteria,Antibiotics do not affect viruses,"why do antibiotics not affect viruses ?
","why do antibiotics only kill bacteria ?
"
956,956,1117,76,"Babies born after the 28th week are usually able to survive. However, they need help breathing because their lungs are not yet fully mature. A baby should not be delivered prior to this time, unless absolutely necessary.",their lungs are not yet fully mature,"However, they need help breathing","why do babies born after the 28th week need help breathing ?
","why are babies born after the 28th week usually able to survive ?
"
957,957,1118,76,A resource is renewable if it is remade by natural processes at the same rate that humans use it up. Sunlight and wind are renewable resources because they will not be used up (Figure 1.1). The rising and falling of ocean tides is another example of a resource in unlimited supply.,they will not be used up,Sunlight and wind are renewable resources,"why are sunlight and wind renewable resources ?
","why are these resources renewable ?
"
958,958,1119,76,"Females do not need to use special feminine hygiene products. In fact, using them may do more harm than good because they can irritate the vagina or other reproductive structures. You should also avoid other behaviors that can put you at risk.",they can irritate the vagina or other reproductive structures,"In fact, using them may do more harm than good","why may using special feminine hygiene products do more harm than good ?
","why do females not need to use special feminine hygiene products ?
"
959,959,1120,76,Many doctors recommend that females between the ages of 9 and 26 years receive the vaccine. Preventing HPV infections in females is important because HPV can also cause cancer of the cervix. A related herpes virus causes cold sores on the lips,HPV can also cause cancer of the cervix,Preventing HPV infections in females is important,"why is preventing hpv infections in females important ?
","why do many doctors recommend that females receive the vaccine ?
"
960,960,1121,76,"If you dont have any symptoms, then you dont have an STI. Getting STIs is no big deal, because STIs can be cured with medicine. Fact",STIs can be cured with medicine,Getting STIs is no big deal,"why is getting stis no big deal ?
","why can stis be cured with medicine ?
"
961,961,1123,76,"Have you ever noticed that you lose your sense of taste when your nose is stuffed up? Thats because your sense of smell greatly affects your ability to taste food. As you eat, molecules of food chemicals enter your nose (actually your nasal cavity).",your sense of smell greatly affects your ability to taste food,you ever noticed that you lose your sense of taste when your nose is stuffed up? Thats,"why do you lose your sense of taste when your nose is stuffed ?
","what happens when your nose is stuffed up ?
"
962,962,1124,76,"Specific scents are often associated with our memories of places and events. Thats because scents are more novel or specific than shapes or other things you might see. So an odor similar to that of your grandmothers kitchen or pantry might be more quickly associated with your memories of that place than a similar sight, which might be more generalized.",scents are more novel or specific than shapes or other things you might see,scents are often associated with our memories of places and events. Thats,"why are specific scents associated with our memories of places and events ?
","why are specific scents important ?
"
963,963,1125,76,"Nitrogen gas (N2) has two nitrogen atoms connected by a very strong triple bond. Most plants and animals cannot use the nitrogen in nitrogen gas because they cannot break that triple bond. In order for plants to make use of nitrogen, it must be transformed into molecules they can use.",they cannot break that triple bond,Most plants and animals cannot use the nitrogen in nitrogen gas,"why can most plants and animals not use the nitrogen in nitrogen gas ?
","why can ' t they break the triple bond ?
"
964,964,1126,76,"Mechanoreceptors perceive sensations such as pressure, vibrations, and texture. Your brain gets an enormous amount of information about the texture of objects through your fingertips because the ridges that make up your fingerprints are full of these sensitive receptors. Thermoreceptors perceive sensations related to the temperature of objects.",the ridges that make up your fingerprints are full of these sensitive receptors,Your brain gets an enormous amount of information about the texture of objects through your fingertips,"why does your brain get information about the texture of objects through your fingertips ?
","why do mechanoreceptors perceive sensations like pressure , vibrations , and texture ?
"
965,965,1127,76,"Acids have certain other properties as well. For example, acids can conduct electricity because they consist of charged particles in solution. Acids also react with metals to produce hydrogen gas.",they consist of charged particles in solution,"For example, acids can conduct electricity","why can acids conduct electricity ?
","why do acids consist of charged particles in solution ?
"
966,966,1128,76,Did you ever taste unsweetened cocoa powder? It tastes bitter because it is a base. Bases also feel slippery.,it is a base,It tastes bitter,"why is unsweetened cocoa powder bitter ?
","why did you taste unsweetened cocoa powder ?
"
967,967,1129,76,"Soap is also a base. Like acids, bases conduct electricity because they consist of charged particles in solution. ",they consist of charged particles in solution,"Like acids, bases conduct electricity","why do bases conduct electricity ?
","why is soap also a base ?
"
968,968,1130,76, Isotopes are atoms of the same element that differ from each other because they have different numbers of neutrons. Many elements have one or more isotopes that are radioactive.,they have different numbers of neutrons,Isotopes are atoms of the same element that differ from each other,"why do isotopes differ from each other ?
","why do they have different numbers of neutrons ?
"
969,969,1131,76,"These atoms are called carbon-14 (6 protons+8 neutrons). The nuclei of carbon-14 are unstable because they have too many neutrons. To be stable, a small nucleus like carbon, with just 6 protons, must have a 1:1 ratio of protons to neutrons.",they have too many neutrons,The nuclei of carbon-14 are unstable,"why are the nuclei of carbon - 14 unstable ?
","why do the nuclei of carbon - 14 have too many neutrons ?
"
970,970,1132,76,"The carbon-14 in living things gradually decays to nitrogen-14. However, it is constantly replaced because living things keep taking in carbon-14. As a result, there is a fixed ratio of carbon-14 to carbon-12 in organisms as long as they are alive.",living things keep taking in carbon-14,"However, it is constantly replaced","why is the carbon - 14 constantly replaced ?
","why does the carbon - 14 decay to nitrogen - 14 ?
"
971,971,1133,76,"There are no known materials that can contain plasma, although a magnet might be able to do it. Thats because plasma consists of ions and responds to magnetism. You can learn more about research on nuclear fusion at the URL below.",plasma consists of ions and responds to magnetism,"are no known materials that can contain plasma, although a magnet might be able to do it. Thats","why is there no known materials that can contain plasma ?
","why is there no known material that can contain plasma ?
"
972,972,1134,76,"It takes place only at extremely high temperatures. Thats because a great deal of energy is needed to overcome the force of repulsion between positively charged nuclei. The suns energy comes from fusion in its core, where temperatures reach millions of Kelvin (see Figure 11.16).",a great deal of energy is needed to overcome the force of repulsion between positively charged nuclei,takes place only at extremely high temperatures. Thats,"why does it only take place at extremely high temperatures ?
","why does it take place at such high temperatures ?
"
973,973,1135,76," Force is a vector because it has both size and direction. For example, the girl in Figure 13.1 is pushing the swing away from herself.",it has both size and direction,Force is a vector,"why is force a vector ?
","why does it have both size and direction ?
"
974,974,1136,76, Friction occurs because no surface is perfectly smooth. Even surfaces that look smooth to the unaided eye appear rough or bumpy when viewed under a microscope.,no surface is perfectly smooth,Friction occurs,"why does friction occur ?
","what happens when no surface is perfectly smooth ?
"
975,975,1137,76,The rougher surface of shoes causes more friction and slows you down. Heavier objects also have more friction because they press together with greater force. Did you ever try to push boxes or furniture across the floor?,they press together with greater force,Heavier objects also have more friction,"why do heavier objects have more friction ?
","why do heavier objects press together with greater force ?
"
976,976,1138,76,"However, when the ball is kicked, the force on it is suddenly unbalanced. The ball starts moving across the field because its inertia has been overcome. ",its inertia has been overcome,The ball starts moving across the field,"why does the ball start moving across the field ?
","what happens when the inertia has been overcome ?
"
977,977,1139,76,Then think how easy it would be to push the box if it was empty. The full box is harder to move because it has greater mass and therefore greater inertia. ,it has greater mass and therefore greater inertia,The full box is harder to move,"why is the full box harder to move ?
","why is it easier to push the box if it was empty ?
"
978,978,1140,76,"What if the batter hits a baseball and a softball with the same amount of force? The softball will accelerate less than the baseball because the softball has greater mass. As a result, it wont travel as fast or as far as the baseball.",the softball has greater mass,The softball will accelerate less than the baseball,"why will the softball accelerate less than the baseball ?
","what happens if the softball hits a baseball with the same amount of force ?
"
979,979,1141,76,"You might think that actions and reactions would cancel each other out like balanced forces do. Balanced forces, which are also equal and opposite, cancel each other out because they act on the same object. Action and reaction forces, in contrast, act on different objects, so they dont cancel each other out and, in fact, often result in motion.",they act on the same object,"Balanced forces, which are also equal and opposite, cancel each other out","why do balanced forces cancel each other out ?
","why do balanced forces cancel each other out ?
"
980,980,1142,76,A bowling ball would be too heavy to catch without risk of injury assuming you could even throw it. Thats because a bowling ball has a lot of mass. This gives it a great deal of momentum.,a bowling ball has a lot of mass,bowling ball would be too heavy to catch without risk of injury assuming you could even throw it. Thats,"why does a bowling ball have a great deal of momentum ?
","why would a bowling ball be too heavy to catch ?
"
981,981,1143,76,"An object has greater momentum if it has greater mass, greater velocity, or both. For example, a bowling ball has greater momentum than a softball when both are moving at the same velocity because the bowling ball has greater mass. However, a softball moving at a very high velocity say, 100 miles an hour would have greater momentum than a slow-rolling bowling ball.",the bowling ball has greater mass,"For example, a bowling ball has greater momentum than a softball when both are moving at the same velocity","why does a bowling ball have greater momentum than a softball when both are moving at the same velocity ?
","why does a bowling ball have greater momentum when it has greater mass ?
"
982,982,1144,76,"Density, or the amount of mass in a given volume, is also related to buoyancy. Thats because density affects weight. A given volume of a denser substance is heavier than the same volume of a less dense substance.",density affects weight,"or the amount of mass in a given volume, is also related to buoyancy. Thats","why is density related to buoyancy ?
","why does density affect weight ?
"
983,983,1146,76,"You may already be familiar with watts. Thats because light bulbs and small appliances such as hair dryers are labeled with the watts of power they provide. For example, the hair dryer in Figure 16.5 is labeled ""2000 watts.",light bulbs and small appliances such as hair dryers are labeled with the watts of power they provide,may already be familiar with watts. Thats,"why may you already be familiar with watts ?
","why are hair dryers labeled with the watts of power they provide ?
"
984,984,1147,76,"The stick person applies an upward force on the box when raising it from the ground to chest height. Work is done because the force is applied in the same direction as the box is moving. However, as the stick person walks from left to right while holding the box at chest height, no more work is done by the persons arms holding the box up.",the force is applied in the same direction as the box is moving,Work is done,"why is work done when the stick person applies an upward force on the box ?
","what happens as the stick person walks from left to right while holding the box at chest height ?
"
985,985,1148,76,"However, as the stick person walks from left to right while holding the box at chest height, no more work is done by the persons arms holding the box up. Thats because the force supporting the box acts in a different direction than the box is moving. A small amount of work in the horizontal direction is performed when the person is accelerating during the first step of the walk across the room.",the force supporting the box acts in a different direction than the box is moving,"as the stick person walks from left to right while holding the box at chest height, no more work is done by the persons arms holding the box up. Thats","why is there no more work done when the stick person walks from left to right while holding the box ?
","what happens when a stick person walks from left to right while holding a box ?
"
986,986,1149,76,"A small amount of work in the horizontal direction is performed when the person is accelerating during the first step of the walk across the room. But other than that, there is no work, because there is no net force acting on the box horizontally. ",there is no net force acting on the box horizontally,"But other than that, there is no work","why is there no work when the person is accelerating during the first step ?
","why is there no net force acting on the box horizontally ?
"
987,987,1150,76,"It would be more efficient to use a dolly on wheels to roll the furniture up the ramp. Thats because rolling friction is much less than sliding friction. As a result, the efficiency of the ramp would be greater with a dolly.",rolling friction is much less than sliding friction,would be more efficient to use a dolly on wheels to roll the furniture up the ramp. Thats,"why is it more efficient to use a dolly on wheels ?
","why would it be more efficient to use a dolly ?
"
988,988,1151,76,"In fact, machines always do less work on the object than the user does on the machine. Thats because all machines must use some of the work put into them to overcome friction. How much work?",all machines must use some of the work put into them to overcome friction,"fact, machines always do less work on the object than the user does on the machine. Thats","why do machines always do less work on the object than the user does on the machine ?
","why do machines do less work on the object than the user does on the machine ?
"
989,989,1152,76,"The trade-off is that the object must be moved over a greater distance than if it were moved straight up to the higher elevation. On the other hand, the output force is greater than the input force because it is applied over a shorter distance. Like other simple machines, the ideal mechanical advantage of an inclined plane is given by: Ideal Mechanical Advantage = Input distance Output distance For an inclined plane, the input distance is the length of the sloping surface, and the output distance is the maximum height of the inclined plane.",it is applied over a shorter distance,"On the other hand, the output force is greater than the input force","why is the output force greater than the input force ?
","what happens if the object is moved over a shorter distance ?
"
990,990,1153,76,Two simple machines that are based on the inclined plane are the wedge and the screw. Both increase the force used to move an object because the input force is applied over a greater distance than the output force. ,the input force is applied over a greater distance than the output force,Both increase the force used to move an object,"why do the wedge and the screw increase the force used to move an object ?
","why is the input force applied over a greater distance than the output force ?
"
991,991,1154,76,"Therefore, if the threads are closer together, you need to apply less force to penetrate the wood or other object. The trade-off is that more turns of the screw or bolt are needed to do the job because the distance over which the input force must be applied is greater. ",the distance over which the input force must be applied is greater,The trade-off is that more turns of the screw or bolt are needed to do the job,"why are more turns of the screw or bolt needed ?
","why is the distance over which input force must be applied greater ?
"
992,992,1155,76,"Compound machines have a greater mechanical advantage than simple machines. Thats because the mechanical advantage of a compound machine equals the product of the mechanical advantages of all its component simple machines. The greater the number of simple machines it contains, the greater is its mechanical advantage.",the mechanical advantage of a compound machine equals the product of the mechanical advantages of all its component simple machines,machines have a greater mechanical advantage than simple machines. Thats,"why do compound machines have a greater mechanical advantage than simple machines ?
","why do compound machines have more mechanical advantage than simple machines ?
"
993,993,1156,76,"But if velocity doubles, kinetic energy increases by a factor of four. Thats because velocity is squared in the equation. You can see for yourself how mass and velocity affect kinetic energy by working through the problems below.",velocity is squared in the equation,"if velocity doubles, kinetic energy increases by a factor of four. Thats","why does velocity doubles ?
","why does velocity increase by a factor of four ?
"
994,994,1157,76,An object has potential energy because of its position or shape. For example leaves on trees have potential energy because they could fall due to the pull of gravity. ,they could fall due to the pull of gravity,For example leaves on trees have potential energy,"why do leaves on trees have potential energy ?
","why could they fall due to the pull of gravity ?
"
995,995,1159,76,"In Figure 17.9, the basketball has mechanical energy because it is moving. The arrow in the same figure has mechanical energy because it has the potential to move due to the elasticity of the bow. What are some other examples of mechanical energy?",it has the potential to move due to the elasticity of the bow,The arrow in the same figure has mechanical energy,"why does the arrow in figure 17 . 9 have mechanical energy ?
","why does the arrow in figure 17 . 9 have mechanical energy ?
"
996,996,1160,76,"Sound energy can travel through air, water, and other substances, but not through empty space. Thats because the energy needs particles of matter to pass it on. ",the energy needs particles of matter to pass it on,"energy can travel through air, water, and other substances, but not through empty space. Thats","why can sound energy travel through air , water , other substances but not through empty space ?
","why does sound energy need particles of matter to pass it on ?
"
997,997,1161,76,"Temperature affects thermal energy, but temperature isnt the same thing as thermal energy. Thats because an objects mass also affects its thermal energy. The examples in Figure 18.1 make this clear.",an objects mass also affects its thermal energy,"affects thermal energy, but temperature isnt the same thing as thermal energy. Thats","why is temperature not the same thing as thermal energy ?
","why is temperature different from thermal energy ?
"
998,998,1162,76,"You can see one way this happens in Figure 18.9. Land heats up and cools off faster than water because it has lower specific heat. Therefore, land is warmer during the day and cooler at night than water.",it has lower specific heat,Land heats up and cools off faster than water,"why does land heat up and cools off faster than water ?
","why is land warmer during the day and cooler at night ?
"
999,999,1163,76,"Generally, waves travel fastest through solids and slowest through gases. Thats because particles are closest together in solids and farthest apart in gases. When particles are farther apart, it takes longer for the energy of the disturbance to pass from particle to particle.",particles are closest together in solids and farthest apart in gases,waves travel fastest through solids and slowest through gases. Thats,"why do waves travel fastest and slowest through gases ?
","why do waves travel fastest through solids and slowest through gases ?
"
1000,1000,1164,76,"The clock was still running, but the ticking could no longer be heard. Thats because the sound couldnt travel away from the clock without air particles to pass the sound energy along. You can see an online demonstration of the same experimentwith a modern twistat this URL: (4:06).",the sound couldnt travel away from the clock without air particles to pass the sound energy along,"clock was still running, but the ticking could no longer be heard. Thats","why couldn ' t the ticking be heard ?
","what happened when the clock stopped running ?
"
1001,1001,1165,76,If you swim underwater or even submerge your ears in bathwater any sounds you hear have traveled to your ears through water. You can tell that sounds travel through glass and other solids because you can hear loud outdoor sounds such as sirens through closed windows and doors. ,you can hear loud outdoor sounds such as sirens through closed windows and doors,You can tell that sounds travel through glass and other solids,"why can you tell that sounds travel through glass and other solids ?
","why can you hear sirens through closed windows and doors ?
"
1002,1002,1166,76,"Generally, sound waves travel fastest through solids and slowest through gases. Thats because the particles of solids are close together and can quickly pass the energy of vibrations to nearby particles. You can explore the speed of sound in different media at this URL: Medium (20C) Air Water Wood Glass Aluminum Speed of Sound Waves (m/s)",the particles of solids are close together and can quickly pass the energy of vibrations to nearby particles,sound waves travel fastest through solids and slowest through gases. Thats,"why do sound waves travel fastest through solids and slowest through gases ?
","why do sound waves travel the fastest ?
"
1003,1003,1167,76,"A sunscreen with a higher SPF protects the skin longer. You should use sunscreen with an SPF of at least 15 even on cloudy days, because ultraviolet light can travel through clouds. Sunscreen should be applied liberally and often.",ultraviolet light can travel through clouds,You should use sunscreen with an SPF of at least 15 even on cloudy days,"why should you use sunscreen with a spf of 15 even on cloudy days ?
","why does ultraviolet light travel through clouds ?
"
1004,1004,1168,76, Many objects have color because they contain pigments. A pigment is a substance that colors materials by reflecting light of certain wavelengths and absorbing light of other wavelengths.,they contain pigments,Many objects have color,"why do many objects have color ?
","why do many objects contain pigments ?
"
1005,1005,1170,76,"The wavelengths that are reflected determine the color that the object appears. For example, the apple in the figure appears red because it reflects red light and absorbs light of other wavelengths. We see a transparent or translucent object, such as the bottle in Figure 22.6, because it transmits light.",it reflects red light and absorbs light of other wavelengths,"For example, the apple in the figure appears red","why does the apple in the figure appear red ?
","what happens when an apple reflects red light and absorbs light of other wavelengths ?
"
1006,1006,1172,76,"The wavelength of the transmitted light determines the color that the object appears. For example, the bottle in the figure appears blue because it transmits blue light. The color of light that strikes an object may also affect the color that the object appears.",it transmits blue light,"For example, the bottle in the figure appears blue","why does the bottle in the figure appear blue ?
","what happens when the bottle transmits blue light ?
"
1007,1007,1173,76,"Examples of transparent matter include air, pure water, and clear glass. You can see clearly through a transparent object, such as the revolving glass doors in the figure, because all the light passes straight through it. Translucent matter is matter that transmits but scatters light.",all the light passes straight through it,"You can see clearly through a transparent object, such as the revolving glass doors in the figure","why can you see clearly through a transparent object such as the revolving glass doors in the figure ?
","what happens when all the light passes straight through it ?
"
1008,1008,1174,76,Translucent matter is matter that transmits but scatters light. Light passes through a translucent object but you cannot see clearly through the object because the light is scattered in all directions. The frosted glass doors in the figure are translucent.,the light is scattered in all directions,Light passes through a translucent object but you cannot see clearly through the object,"why can you not see clearly through a translucent object ?
","what happens when the light is scattered in all directions ?
"
1009,1009,1175,76,"Like microscopes, telescopes use convex lenses to make enlarged images. However, telescopes make enlarged images of objectssuch as distant starsthat only appear tiny because they are very far away. There are two basic types of telescopes: reflecting telescopes and refracting telescopes.",they are very far away,"However, telescopes make enlarged images of objectssuch as distant starsthat only appear tiny","why do distant starsthat appear tiny ?
","why do telescopes use convex lenses ?
"
1010,1010,1176,76,The pupil is an opening in the front of the eye. It looks black because it doesnt reflect any light. It allows light to enter the eye.,it doesnt reflect any light,It looks black,"why does the pupil look black ?
","why does the pupil not reflect any light ?
"
1011,1011,1177,76,The poles are regions where the magnet is strongest. The poles are called north and south because they always line up with Earths north-south axis if the magnet is allowed to move freely. (Earths axis is the imaginary line around which the planet rotates.),they always line up with Earths north-south axis if the magnet is allowed to move freely,The poles are called north and south,"why are the poles called north and south ?
","why are the regions where the magnet is strongest ?
"
1012,1012,1178,76,"There are millions of different substances in the world. Thats because elements can combine in many different ways to form new substances. In fact, most elements are found in compounds.",elements can combine in many different ways to form new substances,are millions of different substances in the world. Thats,"why are most elements found in compounds ?
","why can elements combine in many different ways to form new substances ?
"
1013,1013,1179,76,"Ions have a positive or negative charge. Thats because they do not have the same number of electrons as protons. If atoms lose electrons, they become positive ions, or cations.",they do not have the same number of electrons as protons,Ions have a positive or negative charge. Thats,"why do ions have a positive or negative charge ?
","why do ions not have the same number of electrons as protons ?
"
1014,1014,1180,76,"Different isotopes of an element generally have the same chemical properties. Thats because they have the same numbers of protons and electrons. For a video explanation of isotopes, go to this URL:",they have the same numbers of protons and electrons,Different isotopes of an element generally have the same chemical properties. Thats,"why do different isotopes of an element have the same chemical properties ?
","why do different isotopes have the same chemical properties ?
"
1015,1015,1181,76, Hydrogen is a good example of isotopes because it has the simplest atoms. Three isotopes of hydrogen are modeled in Figure 5.6.,it has the simplest atoms,Hydrogen is a good example of isotopes,"why is hydrogen a good example of isotopes ?
","why does hydrogen have the simplest atoms ?
"
1016,1016,1182,76,"Thomsons experiments also showed that the negative particles are all alike and smaller than atoms. Thomson concluded that the negative particles couldnt be fundamental units of matter because they are all alike. Instead, they must be parts of atoms.",they are all alike,Thomson concluded that the negative particles couldnt be fundamental units of matter,"why did thomson conclude that the negative particles couldnt be fundamental units of matter ?
","what happened to the negative particles because they are all alike ?
"
1017,1017,1183,76,"They could only describe where electrons are with mathematical formulas. Thats because electrons have wave-like properties as well as properties of particles of matter. It is the ""wave nature"" of electrons that lets them exist only at certain distances from the nucleus.",electrons have wave-like properties,could only describe where electrons are with mathematical formulas. Thats,"why are electrons able to exist only at certain distances from the nucleus ?
","why do electrons have wave - like properties and properties of particles of matter ?
"
