pid,freq,is_one_sent,table,line,col,ptxt,etxt,maintoken
126,1,1,4,1,7,"&C (,/./;/--) (&AND) there &BE &ONE &adj consequence to &this ,/./:/;/-- &R",[],"[[u'there'], [u'consequence', u'to'], [[u',', u'.', u':', u';', u'--']]]"
127,1,1,4,1,7,"&C (,/./;/--) (&AND) &THIS &BE not the only reason why &R",[u'Amazing things will happen. This is not the only reason why people go to the place'],"[[u'not', u'the', u'only', u'reason', u'why']]"
128,1,1,4,1,8,"&V-ing/&NP@C@ (&Clause@C@) have/has/had &NUM (&adj) effect/effects/result/results ,/./:/;/-- &R","[u'this action has two effects : it removes the test from the group , and it clears the value of the property by which the test was grouped.']","[[[u'have', u'has', u'had']], [[u'effect', u'effects', u'result', u'results'], [u',', u'.', u':', u';', u'--']]]"
129,2,1,4,1,9,"there &BE &NUM (&ADJ) ground/grounds for &V-ing/&NP@R@ (&Clause@R@) ,/./:/;/-- &C",[],"[[u'there'], [[u'ground', u'grounds'], u'for'], [[u',', u'.', u':', u';', u'--']]]"
130,0,1,4,1,9,"&V-ing/&NP give/gives/gave &NUM (&ADJ) ground/grounds for &V-ing/&NP@R@ (&Clause@R@) ,/./:/;/-- &C",[],"[[[u'give', u'gives', u'gave']], [[u'ground', u'grounds'], u'for'], [[u',', u'.', u':', u';', u'--']]]"
131,0,0,4,2,1,&ONE (&ADJ) reason why &R &BE that &C,[u'The reason why she was absent from class was that she was feeling unwell.'],"[[u'reason', u'why'], [u'that']]"
132,0,0,4,2,1,&ONE (&ADJ) reason why &R (&BE) because &C,"[u'The reason why Henry became very brave, in fact, because he understood from the soul to a truth.']","[[u'reason', u'why'], [u'because']]"
133,0,0,4,2,1,&ONE (&ADJ) reason why &R &BE &NP@C@,[u'The reason why he made such a great achievement is his perseverance.'],"[[u'reason', u'why']]"
134,4,1,4,2,1,"&C (,/./;/--) &ONE (&adj) result (of &THIS (&NP)) is that &R",[u'Amazing things will happen. The paradoxical result of this is that the text itself no longer has any authority in an interpretation'],"[[u'result'], [u'is', u'that']]"
135,4,1,4,2,1,"&C (,/./;/--) &ONE (&adj) result (of &THIS (&NP)) is &NP@R@ (&Clause@R@)",[u'Amazing things will happen. The result of this trading is a market that has done what markets do: allocate resources to more productive use.'],"[[u'result'], [u'is']]"
136,2,1,4,2,1,"&R (,/./;/--) &ONE (&adj) explanation/motivation is that &C",[u'Amazing things will happen. The obvious explanation is that the Bank believes the UK economy to be in much worse shape than the market thinks it is.'],"[[[u'explanation', u'motivation'], u'is', u'that']]"
137,2,1,4,2,1,"&R (,/./;/--) &ONE (&adj) motivation is &TODO@C@","[u'A 5-tuple typed link (link type, source node, destination node, a set of structured link attributes, and a free text annotation to the link) is introduced. The motivation is to integrate the hypertext browsing with information retrieval.']","[[u'motivation', u'is']]"
138,2,1,4,2,1,"&C (,/./;/--) &ONE (&adj) conclusion is that &R","[u'Amazing things will happen. One conclusion is that the notion of an ""Arab exception"" to the appeal of freedom of expression and political participation is dead.']","[[u'conclusion', u'is', u'that']]"
139,1,0,4,2,1,&ONE (&adj) effect/effects of &NP@C@ is/was &NP@R@,[],"[[[u'effect', u'effects'], u'of'], [[u'is', u'was']]]"
140,1,1,4,2,1,"&R (,/./;/--) &ONE (&ADJ) reason (for &THIS (&NP)) &BE that/because &C",[u'Amazing things will happen. The main reason was that the operation effect of Danjiangkou reservoir for runoff was more in the low water period than in the flood period.'],"[[u'reason'], [[u'that', u'because']]]"
141,1,1,4,2,1,"&R (,/./;/--) &ONE (&ADJ) reason (for &THIS (&NP)) &BE &NP@C@",[u'Amazing things will happen. The main reason for this delay is the time needed by the regional indicating office (RIO) to do their assessment and to give approval.'],[[u'reason']]
142,1,0,4,2,1,why &R &BE that &C,[u'Why you never say a word is that i have been a good husband for the last 20 years .'],"[[u'why'], [u'that']]"
143,0,1,4,2,1,"&C (,/./;/--) (&AND) (&adv) that is why &R","[u'Amazing things will happen. That is why it is so irritating when public figures apologize, and then act like the matter is finished.']","[[u'that', u'is', u'why']]"
144,1,1,4,2,2,what conclusions can be drawn from &NP@C@ ?/:/-- &R,[u'What conclusions can be drawn from this important victory? Amazing things will happen.'],"[[u'what', u'conclusions', u'can', u'be', u'drawn', u'from'], [[u'?', u':', u'--']]]"
145,0,0,3,1,1,"as &C , &R","As the water flows into the body of water, it slows down and drops the sediment it was carrying.",[[u'As']]
