Text,Question,Answer,Template
"Sometimes two elevators are built so that their cars always move synchronously in opposite directions , and are each other 's counterweight .","What is the purpose of sometimes building two lifts?","so that their cars always move synchronously in opposite directions , and are each other 's counterweight","AmPncQgTemplate"
"In response to the pressure on Hot AC , a new kind of AC format cropped up among American radio recently .","Why has a new kind of AC format appeared on American radio lately?","In response to the pressure on Hot AC","AmCauQgTemplate"
"[ clarification needed ] It is played down that this "" invisible hand "" acts only "" frequently "" and that it is "" no part of his [ the individual 's ] intentions "" because competition leads to lower prices by imitating "" his "" invention .","Why isn't that part of his intent? '","because competition leads to lower prices by imitating "" his "" invention","AmCauQgTemplate"
"As a consequence , the ability of these states to borrow new money to further finance their budget deficits or to refinance existing unsustainable debt levels was strongly reduced .","To what end do these countries borrow new money?","to further finance their budget deficits or to refinance existing unsustainable debt levels","AmPncQgTemplate"
"Each character has a set number of brushstrokes ; none must be added or taken away from the character to enhance it visually , lest the meaning be lost .","To what end can no one be added, lest the meaning be lost?","to enhance it visually","AmPncQgTemplate"
"Due to its position between two unfriendly neighbours , Armenia has close security ties with Russia .","Why does Armenia have a close security relationship with Russia?","Due to its position between two unfriendly neighbours","AmCauQgTemplate"
"In the first half of the 20th century , many African Americans left the state to go North for better opportunities , in the Great Migration .","To what end did many African-Americans leave the state in the first half of the twentieth century?","to go North for better opportunities","AmPncQgTemplate"
"In the first half of the 20th century , many African Americans left the state to go North for better opportunities , in the Great Migration .","To what end did many African-Americans migrate north during the Great Migration?","for better opportunities","AmPncQgTemplate"
"Virgil is credited[by whom ? ] in the Eclogues with establishing Arcadia as a poetic ideal that still resonates in Western literature and visual arts and setting the stage for the development of Latin pastoral by Calpurnius Siculus , Nemesianus , and later writers .","What is the purpose of the stage?","for the development of Latin pastoral by Calpurnius Siculus , Nemesianus , and later writers","AmPncQgTemplate"
"Serious financial damage has been caused by security breaches , but because there is no standard model for estimating the cost of an incident , the only data available is that which is made public by the organizations involved .","Why are the only data published by the organisations involved?","because there is no standard model for estimating the cost of an incident","AmCauQgTemplate"
"A novelty shop called Au Bon Marche had been founded in Paris in 1838 to sell lace , ribbons , sheets , mattresses , buttons , umbrellas and other assorted goods .","To what end was a new shop called Au Bon Marche founded in Paris in 1838?","to sell lace , ribbons , sheets , mattresses , buttons , umbrellas and other assorted goods","AmPncQgTemplate"
"The mammalian brain invested heavily in olfaction to succeed at night as reptiles slept — one explanation for why olfactory lobes in mammalian brains are proportionally larger than in the reptiles .","To what end did the mammalian brain invest heavily in odor?","to succeed at night as reptiles slept","AmPncQgTemplate"
"The mammalian brain invested heavily in olfaction to succeed at night as reptiles slept — one explanation for why olfactory lobes in mammalian brains are proportionally larger than in the reptiles .","Why are olfactory lobes proportionally larger in the brains of mammals than in reptiles?","why","AmCauQgTemplate"
"Because pipes correspond 1-to-1 to endpoints , the terms are sometimes used interchangeably .","Why are the terms sometimes used interchangeably?","Because pipes correspond 1-to-1 to endpoints","AmCauQgTemplate"
"Despite it having the almost unanimous backing of Egypt 's political forces , Nasser strongly objected to the 1936 Anglo - Egyptian Treaty because it stipulated the continued presence of British military bases in the country .","Why did Nasser object to the 1936 treaty between England and Egypt, even though it was largely unanimously supported by Egypt's political forces?","because it stipulated the continued presence of British military bases in the country","AmCauQgTemplate"
"Though it was clad in white marble to look like a Renaissance palazzo , the building 's cast iron construction permitted large plate glass windows that permitted major seasonal displays , especially in the Christmas shopping season .","For what purpose was it covered with white marble?","to look like a Renaissance palazzo","AmPncQgTemplate"
"Attempts at using normal telephony networks to transmit slow - scan video , such as the first systems developed by AT&T Corporation , first researched in the 1950s , failed mostly due to the poor picture quality and the lack of efficient video compression techniques .","Why have attempts to use regular telephone networks to transmit slow-scan video, such as the first systems developed by AT & T Corporation that were first explored in the 1950s, failed?","mostly due to the poor picture quality and the lack of efficient video compression techniques","AmCauQgTemplate"
"Ottens , director of the audio division of Philips , started a small group with the aim to develop an analog optical audio disc with a diameter of 20 cm and a sound quality superior to that of the vinyl record .","To what end has Ottens, Director of Philips ""Audio Division, founded a small group?","with the aim to develop an analog optical audio disc with a diameter of 20 cm and a sound quality superior to that of the vinyl record","AmPncQgTemplate"
"[ clarification needed ] There have been several attempts to create alternative encodings that preserve the stylistic differences between Chinese , Japanese , and Korean characters in opposition to Unicode 's policy of Han unification .","To what end do alternative codes preserve the stylistic differences between Chinese, Japanese and Korean characters?","in opposition to Unicode 's policy of Han unification","AmPncQgTemplate"
"The original 125th Street west of Convent Avenue was swallowed up to make the super - blocks where the low income housing projects now exist .","To what end was the original 125th Street west of Convent Avenue swallowed up?","to make the super - blocks where the low income housing projects now exist","AmPncQgTemplate"
"Opponents of the Endangered Species Act argue that with over 2,000 endangered species listed , and only 28 delisted due to recovery , the success rate of 1 % over nearly three decades proves that there needs to be serious reform in their methods to actually help the endangered animals and plants .","Why are only 28 cancelled?","due to recovery","AmCauQgTemplate"
"Opponents of the Endangered Species Act argue that with over 2,000 endangered species listed , and only 28 delisted due to recovery , the success rate of 1 % over nearly three decades proves that there needs to be serious reform in their methods to actually help the endangered animals and plants .","What is the purpose of a serious reform of their methods?","to actually help the endangered animals and plants","AmPncQgTemplate"
"In 712 , Arab Muslim general Muhammad bin Qasim conquered most of the Indus region in modern - day Pakistan for the Umayyad Empire , incorporating it as the "" As - Sindh "" province with its capital at Al - Mansurah , 72 km ( 45 mi ) north of modern Hyderabad in Sindh , Pakistan .","In the years 712 to 712, the Arab-Muslim general Muhammad bin Qasim conquered most of the Indus region in present-day Pakistan and annexed it as ""As Sindh"" province with the capital Al Mansurah, 72 km north of today's Hyderabad in Sindh, Pakistan.","for the Umayyad Empire","AmPncQgTemplate"
"In 1997 , Queen returned to the studio to record "" No - One but You ( Only the Good Die Young ) "" , a song dedicated to Mercury and all those that die too soon .","To what end did Queen return to the studio in 1997?","to record "" No - One but You ( Only the Good Die Young ) "" , a song dedicated to Mercury and all those that die too soon","AmPncQgTemplate"
"The spread of the feast , by now with the adjective "" Immaculate "" attached to its title , met opposition on the part of some , on the grounds that sanctification was possible only after conception .","Why was the spread of the feast, with the adjective ""Immaculate,"" linked to its title, met with resistance from some?","on the grounds that sanctification was possible only after conception","AmCauQgTemplate"
"It is close enough to Neptune to be locked into a synchronous rotation , and it is slowly spiralling inward because of tidal acceleration .","Why is it moving inwards slowly?","because of tidal acceleration","AmCauQgTemplate"
"With the establishment of the Royal Air Force two months later and the transfer of Cranwell from Navy to Air Force control , he transferred from the Royal Navy to the Royal Air Force .","Why did he join the Royal Air Force?","With the establishment of the Royal Air Force two months later and the transfer of Cranwell from Navy to Air Force control","AmCauQgTemplate"
"Jonathan of the PDP was declared the winner on 19 April 2011 , having won the election with a total of 22,495,187 of the 39,469,484 votes cast , to stand ahead of Muhammadu Buhari from the main opposition party , the Congress for Progressive Change ( CPC ) , which won 12,214,853 of the total votes cast .","To what end did the PDP's Jonathan win the election by a total of 22,495,187 of the 39,469,484 votes cast?","to stand ahead of Muhammadu Buhari from the main opposition party , the Congress for Progressive Change ( CPC ) , which won 12,214,853 of the total votes cast","AmPncQgTemplate"
"Main Street Station , designed by Wilson , Harris , and Richards , has been returned to use in its original purpose .","To what end was Main Street Station, designed by Wilson, Harris and Richards, returned to its original purpose?","to use","AmPncQgTemplate"
"The new government called in the French Army to put down the uprising , the first of many such confrontations between the army and the new worker 's movements in Europe .","To what end did the new government designate the French army as the first of many such clashes between the army and the new workers ""movements in Europe?","to put down the uprising","AmPncQgTemplate"
"As the result of this operation in 10 regional actions about 60,000 Polish nobles , teachers , social workers , priests , judges and political activists were killed .","Why were some 60,000 Polish nobles, teachers, social workers, priests, judges and political activists murdered?","As the result of this operation in 10 regional actions","AmCauQgTemplate"
"Studies from the United States suggest that the quality of teachers is the single most important factor affecting student performance , and that countries which score highly on international tests have multiple policies in place to ensure that the teachers they employ are as effective as possible .","To what end do countries that score high on international tests have several strategies?","to ensure that the teachers they employ are as effective as possible","AmPncQgTemplate"
"Game players were not the only ones to notice the violence in this game ; US Senators Herb Kohl and Joe Lieberman convened a Congressional hearing on December 9 , 1993 to investigate the marketing of violent video games to children .","To what end did US Senators Herb Kohl and Joe Lieberman call a hearing before Congress on 9 December 1993?","to investigate the marketing of violent video games to children","AmPncQgTemplate"
"To quantitatively classify useful lifetime in a standardized manner it has been suggested to use L70 or L50 , which are the runtimes ( typically given in thousands of hours ) at which a given LED reaches 70 % and 50 % of initial light output , respectively .","For what purpose do L70 or L50 have to be used, what are the running times (usually in thousands of hours) at which a particular LED reaches 70% or 50% of the initial light output?","To quantitatively classify useful lifetime in a standardized manner","AmPncQgTemplate"
"Additionally , the Federal Supreme Court has ruled that , following ratification and entry into force , a treaty must be incorporated into domestic law by means of a presidential decree published in the federal register in order to be valid in Brazil and applicable by the Brazilian authorities .","To what end must a treaty be transposed into national law by means of a presidential decree, which is published in the Federal Register after ratification and entry into force?","in order to be valid in Brazil and applicable by the Brazilian authorities","AmPncQgTemplate"
"The authors suggest that the United Nations should discontinue the practice of classifying countries into development bins because - they claim - the cut - off values seem arbitrary , can provide incentives for strategic behavior in reporting official statistics , and have the potential to misguide politicians , investors , charity donors and the public who use the HDI at large .","Why should the United Nations stop dividing countries into development subjects?","because - they claim - the cut - off values seem arbitrary ,","AmCauQgTemplate"
"Carolingian art was produced for a small group of figures around the court , and the monasteries and churches they supported .","For what purpose was Carolingian art produced?","for a small group of figures around the court , and the monasteries and churches they supported","AmPncQgTemplate"
"This diversity was , in part , due to the Tanzimat writers ' wish to disseminate as much of the new literature as possible , in the hopes that it would contribute to a revitalization of Ottoman social structures .","Why was this diversity partly the hope that it would contribute to a revival of Ottoman social structures?","due to the Tanzimat writers ' wish to disseminate as much of the new literature as possible , in","AmCauQgTemplate"
"This diversity was , in part , due to the Tanzimat writers ' wish to disseminate as much of the new literature as possible , in the hopes that it would contribute to a revitalization of Ottoman social structures .","To what end do the authors of Tanzimat disseminate as much of the new literature as possible?","in the hopes that it would contribute to a revitalization of Ottoman social structures","AmPncQgTemplate"
"The current - voltage characteristic of an LED is similar to other diodes , in that the current is dependent exponentially on the voltage ( see Shockley diode equation ) .","Why does the current voltage characteristic of an LED resemble other diodes?","in that the current is dependent exponentially on the voltage","AmCauQgTemplate"
"Albon Man , a New York lawyer , started Electro - Dynamic Light Company in 1878 to exploit his patents and those of William Sawyer .","In 1878, New York lawyer Albon Man founded the Electro - Dynamic Light Company.","to exploit his patents and those of William Sawyer","AmPncQgTemplate"
"Some arranged for sons to be sent to European - American schools for their education .","To what end are sons sent to European - American schools?","for their education","AmPncQgTemplate"
"He was provided with generous revenues : "" For the services that I have done and do daily , being employed in the Emperor 's service , the Emperor has given me a living "" ( Letters ) .","For what purpose did the emperor live me?","For the services that I have done and do daily","AmPncQgTemplate"
"He was provided with generous revenues : "" For the services that I have done and do daily , being employed in the Emperor 's service , the Emperor has given me a living "" ( Letters ) .","For what purpose did the emperor live me?","For the services that I have done and do daily","AmPncQgTemplate"
"Iran was included because it could not easily be reached except through the Ottoman Empire or neighboring Russia .","Why was Iran involved?","because it could not easily be reached except through the Ottoman Empire or neighboring Russia","AmCauQgTemplate"
"Buffett set conditions so that these contributions do not simply increase the foundation 's endowment , but effectively work as a matching contribution , doubling the Foundation 's annual giving : "" Buffett 's gift came with three conditions for the Gates foundation : Bill or Melinda Gates must be alive and active in its administration ; it must continue to qualify as a charity ; and each year it must give away an amount equal to the previous year 's Berkshire gift , plus an additional amount equal to 5 percent of net assets .","To what end has Buffett set conditions?","so that these contributions do not simply increase the foundation 's endowment , but effectively work as a matching contribution , doubling the Foundation 's annual giving","AmPncQgTemplate"
"Tuvaluans are well known for their seafaring skills , with the Tuvalu Maritime Training Institute on Amatuku motu ( island ) , Funafuti , providing training to approximately 120 marine cadets each year so that they have the skills necessary for employment as seafarers on merchant shipping .","To what end has the Tuvalu Maritime Training Institute on Amatuku motu (island), Funafuti, trained about 120 naval cadets each year?","so that they have the skills necessary for employment as seafarers on merchant shipping","AmPncQgTemplate"
"The Associated Press reported in mid - January 2005 that the FBI essentially abandoned the use of Carnivore in 2001 , in favor of commercially available software , such as NarusInsight .","To what end did the FBI essentially renounce the use of carnivores in 2001?","software , such as NarusInsight","AmPncQgTemplate"
"Cooling is the primary technology used to maintain freshness , whereas many more technologies have been invented to allow foods to last longer without becoming spoiled .","To what end have many other technologies been invented?","to allow foods to last longer without becoming spoiled","AmPncQgTemplate"
"The centre was Phase Two of the West Quay development of the former Pirelli undersea cables factory ; the first phase of this was the West Quay Retail Park , while the third phase ( Watermark Westquay ) was put on hold due to the recession .","Why has the third phase (Watermark Westquay) been put on hold?","due to the recession","AmCauQgTemplate"
"The distances passengers need to move within a large airport can be substantial .","To what end do passengers need the distances?","to move within a large airport","AmPncQgTemplate"
"The mouth is surrounded by strong lips , which act like a hand to grab pieces of dead grass , leaves , and weeds , with bits of soil to help chew .","To what end do strong lips look like a hand?","to grab pieces of dead grass , leaves , and weeds , with bits of soil to help chew","AmPncQgTemplate"
"Because of the rapid population growth in the Piedmont , a significant part of the rural area in this region is being transformed into suburbs with shopping centers , housing , and corporate offices .","Why is a significant part of the rural area in this region being transformed into suburbs with shopping centres, apartments and company headquarters?","Because of the rapid population growth in the Piedmont","AmCauQgTemplate"
"[ dubious - discuss ] For this reason , large volumes of organic matter that was unable to decompose accumulated , eventually being deposited as "" black shale "" .","Why do large amounts of organic matter accumulate that ultimately could not dissolve?","For this reason","AmCauQgTemplate"
"According to the traditional Chinese system , however , there are 7 to 9 "" tones"",[citation needed ] more correctly termed tone classes since two of them are non - phonemic "" entering tones "" ( see the discussion on Chinese tone ) .","Why match 7 to 9 ""tones,"" [quote required] correctly designated tone classes according to the traditional Chinese system?","since two of them are non - phonemic "" entering tones "" ( see the discussion on Chinese tone","AmCauQgTemplate"
"The heads remained there for ten years until the end of the Mexican War of Independence to serve as a warning to other insurgents .","For what purpose did the heads stay there for ten years?","to serve as a warning to other insurgents","AmPncQgTemplate"
"One man who has encountered this problem is Taiwanese politician Yu Shyi - kun , due to the rarity of the last character in his name .","Why is a man who is faced with this problem Taiwanese politician Yu Shyi - kun?","due to the rarity of the last character in his name","AmCauQgTemplate"
"The first modern greenhouses were built in Europe in the 16th century to keep exotic plants brought back from explorations abroad .","For what purpose were the first modern greenhouses built in Europe in the 16th century?","to keep exotic plants brought back from explorations abroad","AmPncQgTemplate"
"In fact , process theology is difficult to define because process theologians are so diverse and transdisciplinary in their views and interests .","Why is process theology actually difficult to define?","because process theologians are so diverse and transdisciplinary in their views and interests","AmCauQgTemplate"
"To facilitate this trade , forts were established on the coast of West Africa , such as James Island , Accra and Bunce Island .","To what end have fortifications been built on the coast of West Africa, such as James Island, Accra and Bunce Island?","To facilitate this trade","AmPncQgTemplate"
"In 1863 , during the Civil War , a second Fort Hale was built next to the original , complete with bomb - resistant bunkers and a moat , to defend the city should a Southern raid against New Haven be launched .","For what purpose was a second Fort Hale built next to the original in 1863?","to defend the city should a Southern raid against New Haven be launched","AmPncQgTemplate"
"Subsequently , Plato and Aristotle produced the first systematic discussions of natural philosophy , which did much to shape later investigations of nature .","To what end have the first systematic discussions on natural philosophy achieved much?","to shape later investigations of nature","AmPncQgTemplate"
"The Austrians launched a series of offensives against the French to break the siege , but Napoleon defeated every relief effort , scoring notable victories at the battles of Castiglione , Bassano , Arcole , and Rivoli .","To what end did the Austrians launch a series of offensives against the French?","to break the siege","AmPncQgTemplate"
"Nevertheless , a pattern had been set : anti - aircraft weapons would be based around heavy weapons attacking high - altitude targets and lighter weapons for use when they came to lower altitudes .","To what end do heavy weapons - altitude targets and lighter weapons - attack?","for use","AmPncQgTemplate"
"It is not well understood how the early Ottomans came to dominate their neighbours , as the history of medieval Anatolia is still little known .","Why was it not understood how the early Ottomans ruled their neighbors?","as the history of medieval Anatolia is still little known","AmCauQgTemplate"
"Because of his association with D - Dot , West was not able to release a solo album , so he formed and became a member and producer of the Go - Getters , a late-1990s Chicago rap group composed of him , GLC , Timmy G , Really Doe , and Arrowstar .","Why was West not was able to release a solo album so he formed and became a member and producer of the Go - Getters , a late-1990s Chicago rap group composed of him , GLC , Timmy G , Really Doe , and Arrowstar ?","Because of his association with D - Dot","AmCauQgTemplate"
"For calculating the torque it is necessary to know the fields in the air gap .","For what purpose is it necessary to know the fields in the air gap?","For calculating the torque","AmPncQgTemplate"
"Regression testing is typically the largest test effort in commercial software development , due to checking numerous details in prior software features , and even new software can be developed while using some old test - cases to test parts of the new design to ensure prior functionality is still supported .","Why is regression testing typically the biggest test effort in commercial software development?","due to checking numerous details in prior software features , and even new software can be developed while using some old test - cases to test parts of the new design to ensure prior functionality is still supported","AmCauQgTemplate"
"Regression testing is typically the largest test effort in commercial software development , due to checking numerous details in prior software features , and even new software can be developed while using some old test - cases to test parts of the new design to ensure prior functionality is still supported .","To what end will parts of the new design test be carried out?","to ensure prior functionality is still supported","AmPncQgTemplate"
"Because Neptune 's atmospheric methane content is similar to that of Uranus , some unknown atmospheric constituent is thought to contribute to Neptune 's colour .","Why is some unknown atmospheric component thought?","Because Neptune 's atmospheric methane content is similar to that of Uranus","AmCauQgTemplate"
"In addition , because we are finite beings , we can not possibly know or understand anything that is universal or infinite such as God , so we can not know God exists , since that which transcends time simultaneously transcends human understanding .","Why can we not know anything universal or infinite like God?","because we are finite beings","AmCauQgTemplate"
"In addition , because we are finite beings , we can not possibly know or understand anything that is universal or infinite such as God , so we can not know God exists , since that which transcends time simultaneously transcends human understanding .","Why do we not understand anything universal or infinite like God?","because we are finite beings","AmCauQgTemplate"
"Wal - Mart operates Suburbia for lower income shoppers , along with stores under the brand names of Wal - Mart , Bodega Aurrera , and Superama .","To what end does Wal-Mart operate Suburbia in addition to stores under the Wal-Mart, Bodega Aurrera and Superama brands?","for lower income shoppers","AmPncQgTemplate"
"This debate probably led Burke to editing his memorandum , as there appeared a notice that Burke would soon publish a letter on the subject to the Secretary of the Board of Agriculture , Arthur Young ; but he failed to complete it .","Why did this debate probably prompt Burke to amend his memorandum?","as there appeared a notice that Burke would soon publish a letter on the subject to the Secretary of the Board of Agriculture , Arthur Young ; but he failed to complete it","AmCauQgTemplate"
"Eisenhower gained his fourth star and gave up command of ETOUSA to become commander of NATOUSA .","To what end did Eisenhower give command of the ETOUSA?","to become commander of NATOUSA","AmPncQgTemplate"
"He must do this by collecting the multiple "" Tears of Light "" ; once all the Tears of Light are collected for one area , he restores that area 's Light Spirit .","For what purpose are all the tears of Light collected?","for one area","AmPncQgTemplate"
"Von Neumann entered government service ( Manhattan Project ) primarily because he felt that , if freedom and civilization were to survive , it would have to be because the US would triumph over totalitarianism from Nazism , Fascism and Soviet Communism .","Why did Von Neumann join the government (Manhattan Project)?","primarily because he felt that , if freedom and civilization were to survive , it would have to be because the US would triumph over totalitarianism from Nazism , Fascism and Soviet Communism","AmCauQgTemplate"
"The image is often used as a symbol of Detroit and the statue itself is occasionally dressed in sports jerseys to celebrate when a Detroit team is doing well .","For what purpose is the statue occasionally dressed in sports jerseys?","to celebrate when a Detroit team is doing well","AmPncQgTemplate"
"Stockton sent a mounted force of fifty under Captain Archibald Gillespie to march north to meet him .","To what end did a fifty-strong equestrian force under Captain Archibald Gillespie march north?","to meet him","AmPncQgTemplate"
"The Boston Celtics were founding members of the Basketball Association of America , one of the two leagues that merged to form the NBA .","To what end did the two leagues merge?","to form the NBA","AmPncQgTemplate"
"[ citation needed ] According to Ali al - Ridha , since it is obligatory to obey him , there should be a sign to clearly indicate the Divine Leader .","Why be a sign that the Divine Leader is according to Ali al-Ridha?","since it is obligatory to obey him","AmCauQgTemplate"
"All versions incorporate a top - loading slot for game cartridges , although the shape of the slot differs between regions to match the different shapes of the cartridges .","For what purpose does the shape of the slot differ between regions?","to match the different shapes of the cartridges","AmPncQgTemplate"
"Into the first half of the twentieth century after the establishment of ROC , Nanjing gradually shifted from being a production hub towards being a heavy consumption city , mainly because of the rapid expansion of its wealthy population after Nanjing once again regained the political spotlight of China .","Why, after the founding of the People's Republic of China, did Nanjing gradually become a consumerist metropolis in the first half of the twentieth century?","mainly because of the rapid expansion of its wealthy population after Nanjing once again regained the political spotlight of China","AmCauQgTemplate"
"Authorities declared martial law and federal troops arrived to put down the disorder .","For what purpose did federal troops arrive?","to put down the disorder","AmPncQgTemplate"
"On 27 June , the ICC issued arrest warrants for Gaddafi , his son Saif al - Islam , and his brother - in - law Abdullah Senussi , head of state security , for charges concerning crimes against humanity .","To what end did the ICC issue arrest warrants on 27 June against Gaddafi, his son Saif al-Islam, and his brother-in-law Abdullah Senussi, the head of state security?","for charges concerning crimes against humanity","AmPncQgTemplate"
"Digital Equipment Corporation developed the Multinational Character Set ( DEC - MCS ) for use in the popular VT220 terminal as one of the first extensions designed more for international languages than for block graphics .","For what purpose did Digital Equipment Corporation develop the Multinational Character Set (MCS)?","for use in the popular VT220 terminal as one of the first extensions designed more for international languages than for block graphics","AmPncQgTemplate"
"Such influence appears , however , to have been of a negative nature , as Madison describes the Dutch confederacy as exhibiting "" Imbecility in the government ; discord among the provinces ; foreign influence and indignities ; a precarious existence in peace , and peculiar calamities from war .","But why is such an influence occurring?","as Madison describes the Dutch confederacy as exhibiting "" Imbecility in the government ; discord among the provinces ; foreign influence and indignities ; a precarious existence in peace , and peculiar calamities from war","AmCauQgTemplate"
"Two aerials were rotated for the two converging beams which were pointed to cross directly over the target .","For what purpose were the two converging rays shown?","to cross directly over the target","AmPncQgTemplate"
"He wished that France would not be partitioned due to the effect this would have on the balance of power in Europe , and that the war was not against France , but against the revolutionaries governing her .","Why shouldn't France be divided?","due to the effect this would have on the balance of power in Europe","AmCauQgTemplate"
"Glass is in widespread use largely due to the production of glass compositions that are transparent to visible light .","Why is glass widespread?","largely due to the production of glass compositions that are transparent to visible light","AmCauQgTemplate"
"Twice each year , Witnesses from a number of congregations that form a "" circuit "" gather for a one - day assembly .","To what end do witnesses from a number of congregations who form a ""cycle"" gather twice a year?","for a one - day assembly","AmPncQgTemplate"
"The ion is relatively stable in the environment of outer space due to the low temperature and density .","Why is the ion relatively stable in space?","due to the low temperature and density","AmCauQgTemplate"
"Monarchs also resented the idea of their subjects convening as one to discuss political matters , especially those concerning foreign affairs - rulers thought political affairs to be their business only , a result of their supposed divine right to rule .","To what end do their subjects come together?","to discuss political matters","AmPncQgTemplate"
"The title "" Supreme "" can be confusing because , for example , The Supreme Court of British Columbia does not have the final say and controversial cases heard there often get appealed in higher courts - it is in fact one of the lower courts in such a process .","Why the title ""Supreme"" be confusing?","because , for example , The Supreme Court of British Columbia does not have the final say and controversial cases heard there often get appealed in higher courts - it is in fact one of the lower courts in such a process","AmCauQgTemplate"
"Various ecumenical movements have attempted cooperation or reorganization of the various divided Protestant denominations , according to various models of union , but divisions continue to outpace unions , as there is no overarching authority to which any of the churches owe allegiance , which can authoritatively define the faith .","Why are there still differences of opinion?","as there is no overarching authority to which any of the churches owe allegiance , which can authoritatively define the faith","AmCauQgTemplate"
"During the First World War , to avoid ground fights between brothers , many Alsatians served as sailors in the Kaiserliche Marine and took part in the Naval mutinies that led to the abdication of the Kaiser in November 1918 , which left Alsace - Lorraine without a nominal head of state .","To what end did many Alsatians take part in the naval mutinies that led to the abdication of the emperor in November 1918, leaving Alsace-Lorraine without a nominal head of state during the First World War?","to avoid ground fights between brothers","AmPncQgTemplate"
"The University of Notre Dame has made being a sustainability leader an integral part of its mission , creating the Office of Sustainability in 2008 to achieve a number of goals in the areas of power generation , design and construction , waste reduction , procurement , food services , transportation , and water .","To what end did the University of Notre Dame establish the Office of Sustainability in 2008?","to achieve a number of goals in the areas of power generation , design and construction , waste reduction , procurement , food services , transportation , and water","AmPncQgTemplate"
"This is of an impact on the Xbox Live Video Store as it was also announced that the Zune Video Marketplace and the Xbox Live Video Store will be merged to form the Zune Marketplace , which will be arriving on Xbox Live in 7 countries initially , the United Kingdom , the United States , France , Italy , Germany , Ireland and Spain .","What is the purpose of merging the Zune Video Marketplace and the Xbox Live Video Store?","to form the Zune Marketplace , which will be arriving on Xbox Live in 7 countries initially , the United Kingdom , the United States , France , Italy , Germany , Ireland and Spain","AmPncQgTemplate"
"Either may initiate the corrupt offering ; for example , a customs official may demand bribes to let through allowed ( or disallowed ) goods , or a smuggler might offer bribes to gain passage .","For what purpose can a smuggler offer bribes?","to gain passage","AmPncQgTemplate"
"The dogmatic decisions of the Councils , though , are to be obeyed rather than to be treated as guidelines , since they are essential for the Church 's unity .","Why are the dogmatic decisions of the Councils followed?","since they are essential for the Church 's unity","AmCauQgTemplate"
"The dogmatic decisions of the Councils , though , are to be obeyed rather than to be treated as guidelines , since they are essential for the Church 's unity .","Why are the dogmatic decisions of the Councils treated as guidelines?","since they are essential for the Church 's unity","AmCauQgTemplate"
"For his bravery in the face of the enemy , he was recommended for the Silver Bravery Medal but was taken prisoner of war before it could be formally presented .","Why was he recommended for the Silver Bravery Medal?","For his bravery in the face of the enemy","AmCauQgTemplate"
"Aburish states that Nasser was not fully capable of addressing Syrian problems because they were "" foreign to him "" .","Why hasn't Nasser been fully able to address Syria's problems?","because they were "" foreign to him ""","AmCauQgTemplate"
"Due to its location at the South Pole , Antarctica receives relatively little solar radiation .","Why does Antarctica receive relatively little sunlight?","Due to its location at the South Pole","AmCauQgTemplate"
"They could be used to measure the hours even at night , but required manual upkeep to replenish the flow of water .","To what end did they need manual maintenance?","to replenish the flow of water","AmPncQgTemplate"
"In 1946 , after the Second World War , he moved to the United Kingdom to become reader in logic and scientific method at the London School of Economics .","To what end did he move to Britain in 1946?","to become reader in logic and scientific method at the London School of Economics","AmPncQgTemplate"
"Myanmar 's ethnic minority groups prefer the term "" ethnic nationality "" over "" ethnic minority "" as the term "" minority "" furthers their sense of insecurity in the face of what is often described as "" Burmanisation ""— the proliferation and domination of the dominant Bamar culture over minority cultures .","Why do Myanmar's ethnic minorities prefer ""ethnic nationality"" to ""ethnic minority""?","as the term "" minority "" furthers their sense of insecurity in the face of what is often described as "" Burmanisation ""— the proliferation and domination of the dominant Bamar culture over minority cultures","AmCauQgTemplate"
"If the concubine was a commoner , a messenger was sent with betrothal money or a note for exemption of tax to ask for her parents ' acceptance .","For what purpose was a messenger sent if the concubine was a parishioner with stolen money or a tax exemption note?","to ask for her parents ' acceptance","AmPncQgTemplate"
"In recent years the city government , under Mayor Manny Diaz , has taken an ambitious stance in support of bicycling in Miami for both recreation and commuting .","To what end has the city government taken an ambitious stance in recent years to support cycling in Miami under Mayor Manny Diaz?","for both recreation and commuting","AmPncQgTemplate"
"Numerous highrise condominiums were built for use as permanent residences or second homes .","For what purpose were numerous high-rise buildings built?","for use as permanent residences or second homes","AmPncQgTemplate"
"There is also a trend of Orthodox movements pursuing secular Jews in order to give them a stronger Jewish identity so there is less chance of intermarriage .","To what end do Orthodox movements persecute secular Jews?","in order to give them a stronger Jewish identity so there is less chance of intermarriage","AmPncQgTemplate"
"There is also a trend of Orthodox movements pursuing secular Jews in order to give them a stronger Jewish identity so there is less chance of intermarriage .","To what end does a stronger Jewish identity give them?","so there is less chance of intermarriage","AmPncQgTemplate"
"Technological developments by videoconferencing developers in the 2010s have extended the capabilities of video conferencing systems beyond the boardroom for use with hand - held mobile devices that combine the use of video , audio and on - screen drawing capabilities broadcasting in real - time over secure networks , independent of location .","To what end have technological developments by video conferencing developers in the 2010s expanded the possibilities of video conferencing beyond the boardroom?","for use with hand - held mobile devices that combine the use of video , audio and on - screen drawing capabilities broadcasting in real - time over secure networks , independent of location","AmPncQgTemplate"
"In November 2005 the Faculties of Life Sciences and Physical Sciences merged to become the Faculty of Natural Sciences .","For what purpose did the Faculties of Life Sciences and Physics merge in November 2005?","to become the Faculty of Natural Sciences","AmPncQgTemplate"
