"Regression testing is typically the largest test effort in commercial software development , due to checking numerous details in prior software features , and even new software can be developed while using some old test - cases to test parts of the new design to ensure prior functionality is still supported .","To what end will parts of the new design test be carried out?","to ensure prior functionality is still supported","AmPncQgTemplate"
"Because Neptune 's atmospheric methane content is similar to that of Uranus , some unknown atmospheric constituent is thought to contribute to Neptune 's colour .","Why is some unknown atmospheric component thought?","Because Neptune 's atmospheric methane content is similar to that of Uranus","AmCauQgTemplate"
"In addition , because we are finite beings , we can not possibly know or understand anything that is universal or infinite such as God , so we can not know God exists , since that which transcends time simultaneously transcends human understanding .","Why can we not know anything universal or infinite like God?","because we are finite beings","AmCauQgTemplate"
"In addition , because we are finite beings , we can not possibly know or understand anything that is universal or infinite such as God , so we can not know God exists , since that which transcends time simultaneously transcends human understanding .","Why do we not understand anything universal or infinite like God?","because we are finite beings","AmCauQgTemplate"
"Wal - Mart operates Suburbia for lower income shoppers , along with stores under the brand names of Wal - Mart , Bodega Aurrera , and Superama .","To what end does Wal-Mart operate Suburbia in addition to stores under the Wal-Mart, Bodega Aurrera and Superama brands?","for lower income shoppers","AmPncQgTemplate"
"This debate probably led Burke to editing his memorandum , as there appeared a notice that Burke would soon publish a letter on the subject to the Secretary of the Board of Agriculture , Arthur Young ; but he failed to complete it .","Why did this debate probably prompt Burke to amend his memorandum?","as there appeared a notice that Burke would soon publish a letter on the subject to the Secretary of the Board of Agriculture , Arthur Young ; but he failed to complete it","AmCauQgTemplate"
"Eisenhower gained his fourth star and gave up command of ETOUSA to become commander of NATOUSA .","To what end did Eisenhower give command of the ETOUSA?","to become commander of NATOUSA","AmPncQgTemplate"
"He must do this by collecting the multiple "" Tears of Light "" ; once all the Tears of Light are collected for one area , he restores that area 's Light Spirit .","For what purpose are all the tears of Light collected?","for one area","AmPncQgTemplate"
"Von Neumann entered government service ( Manhattan Project ) primarily because he felt that , if freedom and civilization were to survive , it would have to be because the US would triumph over totalitarianism from Nazism , Fascism and Soviet Communism .","Why did Von Neumann join the government (Manhattan Project)?","primarily because he felt that , if freedom and civilization were to survive , it would have to be because the US would triumph over totalitarianism from Nazism , Fascism and Soviet Communism","AmCauQgTemplate"
"The image is often used as a symbol of Detroit and the statue itself is occasionally dressed in sports jerseys to celebrate when a Detroit team is doing well .","For what purpose is the statue occasionally dressed in sports jerseys?","to celebrate when a Detroit team is doing well","AmPncQgTemplate"
"Stockton sent a mounted force of fifty under Captain Archibald Gillespie to march north to meet him .","To what end did a fifty-strong equestrian force under Captain Archibald Gillespie march north?","to meet him","AmPncQgTemplate"
"The Boston Celtics were founding members of the Basketball Association of America , one of the two leagues that merged to form the NBA .","To what end did the two leagues merge?","to form the NBA","AmPncQgTemplate"
"[ citation needed ] According to Ali al - Ridha , since it is obligatory to obey him , there should be a sign to clearly indicate the Divine Leader .","Why be a sign that the Divine Leader is according to Ali al-Ridha?","since it is obligatory to obey him","AmCauQgTemplate"
"All versions incorporate a top - loading slot for game cartridges , although the shape of the slot differs between regions to match the different shapes of the cartridges .","For what purpose does the shape of the slot differ between regions?","to match the different shapes of the cartridges","AmPncQgTemplate"
"Into the first half of the twentieth century after the establishment of ROC , Nanjing gradually shifted from being a production hub towards being a heavy consumption city , mainly because of the rapid expansion of its wealthy population after Nanjing once again regained the political spotlight of China .","Why, after the founding of the People's Republic of China, did Nanjing gradually become a consumerist metropolis in the first half of the twentieth century?","mainly because of the rapid expansion of its wealthy population after Nanjing once again regained the political spotlight of China","AmCauQgTemplate"
"Authorities declared martial law and federal troops arrived to put down the disorder .","For what purpose did federal troops arrive?","to put down the disorder","AmPncQgTemplate"
"On 27 June , the ICC issued arrest warrants for Gaddafi , his son Saif al - Islam , and his brother - in - law Abdullah Senussi , head of state security , for charges concerning crimes against humanity .","To what end did the ICC issue arrest warrants on 27 June against Gaddafi, his son Saif al-Islam, and his brother-in-law Abdullah Senussi, the head of state security?","for charges concerning crimes against humanity","AmPncQgTemplate"
"Digital Equipment Corporation developed the Multinational Character Set ( DEC - MCS ) for use in the popular VT220 terminal as one of the first extensions designed more for international languages than for block graphics .","For what purpose did Digital Equipment Corporation develop the Multinational Character Set (MCS)?","for use in the popular VT220 terminal as one of the first extensions designed more for international languages than for block graphics","AmPncQgTemplate"
"Such influence appears , however , to have been of a negative nature , as Madison describes the Dutch confederacy as exhibiting "" Imbecility in the government ; discord among the provinces ; foreign influence and indignities ; a precarious existence in peace , and peculiar calamities from war .","But why is such an influence occurring?","as Madison describes the Dutch confederacy as exhibiting "" Imbecility in the government ; discord among the provinces ; foreign influence and indignities ; a precarious existence in peace , and peculiar calamities from war","AmCauQgTemplate"
"Two aerials were rotated for the two converging beams which were pointed to cross directly over the target .","For what purpose were the two converging rays shown?","to cross directly over the target","AmPncQgTemplate"
"He wished that France would not be partitioned due to the effect this would have on the balance of power in Europe , and that the war was not against France , but against the revolutionaries governing her .","Why shouldn't France be divided?","due to the effect this would have on the balance of power in Europe","AmCauQgTemplate"
"Glass is in widespread use largely due to the production of glass compositions that are transparent to visible light .","Why is glass widespread?","largely due to the production of glass compositions that are transparent to visible light","AmCauQgTemplate"
"Twice each year , Witnesses from a number of congregations that form a "" circuit "" gather for a one - day assembly .","To what end do witnesses from a number of congregations who form a ""cycle"" gather twice a year?","for a one - day assembly","AmPncQgTemplate"
"The ion is relatively stable in the environment of outer space due to the low temperature and density .","Why is the ion relatively stable in space?","due to the low temperature and density","AmCauQgTemplate"
"Monarchs also resented the idea of their subjects convening as one to discuss political matters , especially those concerning foreign affairs - rulers thought political affairs to be their business only , a result of their supposed divine right to rule .","To what end do their subjects come together?","to discuss political matters","AmPncQgTemplate"
"The title "" Supreme "" can be confusing because , for example , The Supreme Court of British Columbia does not have the final say and controversial cases heard there often get appealed in higher courts - it is in fact one of the lower courts in such a process .","Why the title ""Supreme"" be confusing?","because , for example , The Supreme Court of British Columbia does not have the final say and controversial cases heard there often get appealed in higher courts - it is in fact one of the lower courts in such a process","AmCauQgTemplate"
"Various ecumenical movements have attempted cooperation or reorganization of the various divided Protestant denominations , according to various models of union , but divisions continue to outpace unions , as there is no overarching authority to which any of the churches owe allegiance , which can authoritatively define the faith .","Why are there still differences of opinion?","as there is no overarching authority to which any of the churches owe allegiance , which can authoritatively define the faith","AmCauQgTemplate"
"During the First World War , to avoid ground fights between brothers , many Alsatians served as sailors in the Kaiserliche Marine and took part in the Naval mutinies that led to the abdication of the Kaiser in November 1918 , which left Alsace - Lorraine without a nominal head of state .","To what end did many Alsatians take part in the naval mutinies that led to the abdication of the emperor in November 1918, leaving Alsace-Lorraine without a nominal head of state during the First World War?","to avoid ground fights between brothers","AmPncQgTemplate"
"The University of Notre Dame has made being a sustainability leader an integral part of its mission , creating the Office of Sustainability in 2008 to achieve a number of goals in the areas of power generation , design and construction , waste reduction , procurement , food services , transportation , and water .","To what end did the University of Notre Dame establish the Office of Sustainability in 2008?","to achieve a number of goals in the areas of power generation , design and construction , waste reduction , procurement , food services , transportation , and water","AmPncQgTemplate"
"This is of an impact on the Xbox Live Video Store as it was also announced that the Zune Video Marketplace and the Xbox Live Video Store will be merged to form the Zune Marketplace , which will be arriving on Xbox Live in 7 countries initially , the United Kingdom , the United States , France , Italy , Germany , Ireland and Spain .","What is the purpose of merging the Zune Video Marketplace and the Xbox Live Video Store?","to form the Zune Marketplace , which will be arriving on Xbox Live in 7 countries initially , the United Kingdom , the United States , France , Italy , Germany , Ireland and Spain","AmPncQgTemplate"
"Either may initiate the corrupt offering ; for example , a customs official may demand bribes to let through allowed ( or disallowed ) goods , or a smuggler might offer bribes to gain passage .","For what purpose can a smuggler offer bribes?","to gain passage","AmPncQgTemplate"
"The dogmatic decisions of the Councils , though , are to be obeyed rather than to be treated as guidelines , since they are essential for the Church 's unity .","Why are the dogmatic decisions of the Councils followed?","since they are essential for the Church 's unity","AmCauQgTemplate"
"The dogmatic decisions of the Councils , though , are to be obeyed rather than to be treated as guidelines , since they are essential for the Church 's unity .","Why are the dogmatic decisions of the Councils treated as guidelines?","since they are essential for the Church 's unity","AmCauQgTemplate"
"For his bravery in the face of the enemy , he was recommended for the Silver Bravery Medal but was taken prisoner of war before it could be formally presented .","Why was he recommended for the Silver Bravery Medal?","For his bravery in the face of the enemy","AmCauQgTemplate"
"Aburish states that Nasser was not fully capable of addressing Syrian problems because they were "" foreign to him "" .","Why hasn't Nasser been fully able to address Syria's problems?","because they were "" foreign to him ""","AmCauQgTemplate"
"Due to its location at the South Pole , Antarctica receives relatively little solar radiation .","Why does Antarctica receive relatively little sunlight?","Due to its location at the South Pole","AmCauQgTemplate"
"They could be used to measure the hours even at night , but required manual upkeep to replenish the flow of water .","To what end did they need manual maintenance?","to replenish the flow of water","AmPncQgTemplate"
"In 1946 , after the Second World War , he moved to the United Kingdom to become reader in logic and scientific method at the London School of Economics .","To what end did he move to Britain in 1946?","to become reader in logic and scientific method at the London School of Economics","AmPncQgTemplate"
"Myanmar 's ethnic minority groups prefer the term "" ethnic nationality "" over "" ethnic minority "" as the term "" minority "" furthers their sense of insecurity in the face of what is often described as "" Burmanisation ""— the proliferation and domination of the dominant Bamar culture over minority cultures .","Why do Myanmar's ethnic minorities prefer ""ethnic nationality"" to ""ethnic minority""?","as the term "" minority "" furthers their sense of insecurity in the face of what is often described as "" Burmanisation ""— the proliferation and domination of the dominant Bamar culture over minority cultures","AmCauQgTemplate"
"If the concubine was a commoner , a messenger was sent with betrothal money or a note for exemption of tax to ask for her parents ' acceptance .","For what purpose was a messenger sent if the concubine was a parishioner with stolen money or a tax exemption note?","to ask for her parents ' acceptance","AmPncQgTemplate"
"In recent years the city government , under Mayor Manny Diaz , has taken an ambitious stance in support of bicycling in Miami for both recreation and commuting .","To what end has the city government taken an ambitious stance in recent years to support cycling in Miami under Mayor Manny Diaz?","for both recreation and commuting","AmPncQgTemplate"
"Numerous highrise condominiums were built for use as permanent residences or second homes .","For what purpose were numerous high-rise buildings built?","for use as permanent residences or second homes","AmPncQgTemplate"
"There is also a trend of Orthodox movements pursuing secular Jews in order to give them a stronger Jewish identity so there is less chance of intermarriage .","To what end do Orthodox movements persecute secular Jews?","in order to give them a stronger Jewish identity so there is less chance of intermarriage","AmPncQgTemplate"
"There is also a trend of Orthodox movements pursuing secular Jews in order to give them a stronger Jewish identity so there is less chance of intermarriage .","To what end does a stronger Jewish identity give them?","so there is less chance of intermarriage","AmPncQgTemplate"
"Technological developments by videoconferencing developers in the 2010s have extended the capabilities of video conferencing systems beyond the boardroom for use with hand - held mobile devices that combine the use of video , audio and on - screen drawing capabilities broadcasting in real - time over secure networks , independent of location .","To what end have technological developments by video conferencing developers in the 2010s expanded the possibilities of video conferencing beyond the boardroom?","for use with hand - held mobile devices that combine the use of video , audio and on - screen drawing capabilities broadcasting in real - time over secure networks , independent of location","AmPncQgTemplate"
"In November 2005 the Faculties of Life Sciences and Physical Sciences merged to become the Faculty of Natural Sciences .","For what purpose did the Faculties of Life Sciences and Physics merge in November 2005?","to become the Faculty of Natural Sciences","AmPncQgTemplate"
"The Compacts give citizens of these island nations generally no restrictions to reside in the United States ( also its territories ) , and many were attracted to Guam due to its proximity , environmental , and cultural familiarity .","Why were many attracted to Guam?","due to its proximity , environmental , and cultural familiarity","AmCauQgTemplate"
"The Towers of Catoira ( Pontevedra ) were built as a system of fortifications to prevent and stop the Viking raids on Santiago de Compostela .","For what purpose were the towers of Catoira (Pontevedra) built as fortifications?","to prevent and stop the Viking raids on Santiago de Compostela","AmPncQgTemplate"
"Manganese dioxide can be added in small amounts to remove the green tint given by iron(II ) oxide .","To what end can manganese be added in small quantities?","to remove the green tint given by iron(II ) oxide","AmPncQgTemplate"
"Buildings like hospitals and nursing homes usually size their emergency generators to accommodate this draw .","For what purpose are buildings such as hospitals and nursing homes usually the size of their emergency generators?","to accommodate this draw","AmPncQgTemplate"
"Such remedies may not be applicable to modern high - frequency power supplies as these produce full output voltage even with reduced input .","Why are such means not applicable to modern high frequency power supplies?","as these produce full output voltage even with reduced input","AmCauQgTemplate"
"Because meteorites in space absorb and record cosmic radiation , the time elapsed since the meteorite hit the Earth can be determined from laboratory studies .","Why can the time since the meteorite hit Earth be determined by laboratory studies?","Because meteorites in space absorb and record cosmic radiation","AmCauQgTemplate"
"Many longer sound recordings , such as complete operas , were interleaved across several 10-inch or 12-inch discs for use with auto - changing mechanisms , so that the first disk of a three - disk recording would carry sides 1 and 6 of the program , while the second disk would carry sides 2 and 5 , and the third , sides 3 and 4 , allowing sides 1 , 2 , and 3 to be played automatically ; then the whole stack reversed to play sides 4 , 5 , and 6 .","For what purpose were Many longer sound recordings , such as complete operas interleaved for use with auto - changing mechanisms across several 10-inch or 12-inch discs ?","so that the first disk of a three - disk recording would carry sides 1 and 6 of the program , while the second disk would carry sides 2 and 5 , and the third , sides 3 and 4 , allowing sides 1 , 2 , and 3 to be played automatically","AmPncQgTemplate"
"Many longer sound recordings , such as complete operas , were interleaved across several 10-inch or 12-inch discs for use with auto - changing mechanisms , so that the first disk of a three - disk recording would carry sides 1 and 6 of the program , while the second disk would carry sides 2 and 5 , and the third , sides 3 and 4 , allowing sides 1 , 2 , and 3 to be played automatically ; then the whole stack reversed to play sides 4 , 5 , and 6 .","So to what end has the whole stack turned upside down?","to play sides 4 , 5 , and 6","AmPncQgTemplate"
"Bullied for being a Bedouin , he was proud of his identity and encouraged pride in other Bedouin children .","Why did he bully?","for being a Bedouin","AmCauQgTemplate"
"On May 19 , 2015 , JPMorgan Chase announced that it has invested $ 32 million for two redevelopment projects in the city 's Capitol Park district , the Capitol Park Lofts ( the former Capitol Park Building ) and the Detroit Savings Bank building at 1212 Griswold .","To what end has she invested $32 million?","for two redevelopment projects in the city 's Capitol Park district , the Capitol Park Lofts ( the former Capitol Park Building ) and the Detroit Savings Bank building at 1212 Griswold","AmPncQgTemplate"
"In recent developments , a 1974 - 2010 building height limitation of 37 metres ( 121 ft ) was raised to 50 m ( 160 ft ) in central areas and 180 metres ( 590 ft ) in some of Paris ' peripheral quarters , yet for some of the city 's more central quarters , even older building - height laws still remain in effect .","To what end have older building laws remained in force?","for some of the city 's more central quarters","AmPncQgTemplate"
"The successful bidder was David Gold , the then joint chairman of Birmingham City ; claiming the FA and government were doing nothing proactive to ensure the trophy remained in the country , Gold stated his purchase was motivated by wanting to save it for the nation .","To what end have the FA and the Government done nothing?","to ensure the trophy remained in the country","AmPncQgTemplate"
"Over a period of 40 years , about 400,000 African students from various countries moved to Russia to pursue higher studies , including many Black Africans .","To what end did some 400,000 African students from various countries move to Russia over a 40-year period?","to pursue higher studies","AmPncQgTemplate"
"The debacle was repeated in 1965 ; this time , when the Speaker left the chair to go to the House of Lords , some members continued to make speeches .","To what end has the speaker left the chair this time?","to go to the House of Lords","AmPncQgTemplate"
"Similarly , the Constitution Act 1986 reformed the constitution of New Zealand to sever its constitutional link with Britain , and the Australia Act 1986 severed the constitutional link between Britain and the Australian states .","To what end did the 1986 Constitutional Act reform the New Zealand Constitution?","to sever its constitutional link with Britain","AmPncQgTemplate"
"Due to Anson 's absence from the club after 22 years , local newspaper reporters started to refer to the Cubs as the "" Orphans "" .","Why did local newspaper reporters call Cubans ""orphans""?","Due to Anson 's absence from the club after 22 years","AmCauQgTemplate"
"It has a relatively high proportion of doubled letters , both vowels and consonants , due to the formation of compound words and also to the spelling devices for distinguishing the many vowel sounds in the Dutch language .","Why does it have a relatively high proportion of double letters, both vowels and consonants?","due to the formation of compound words and also to the spelling devices for distinguishing the many vowel sounds in the Dutch language","AmCauQgTemplate"
"The article noted that major healthcare organizations such as National Center for Advancing Translational Sciences of the National Institutes of Health , the President ’s Council of Advisors on Science and Technology , the World Economic Forum , the Gates Foundation , the Wellcome Trust , and the Food and Drug Administration had encouraged greater interactions between physicians and industry in order to bring greater benefits to patients .","To what end have major health organizations such as the National Center for Advancing Translational Sciences of the National Institutes of Health, the President's Council of Advisors on Science and Technology, the World Economic Forum, the Gates Foundation, the Wellcome Trust, and the Food and Drug Administration encouraged greater interaction between physicians and industry?","in order to bring greater benefits to patients","AmPncQgTemplate"
"Lossless compression is possible because most real - world data exhibits statistical redundancy .","Why is lossless compression possible?","because most real - world data exhibits statistical redundancy","AmCauQgTemplate"
"In order to enlist Stalin 's support , Zhou and a Chinese delegation left for Moscow on 8 October , arriving there on 10 October at which point they flew to Stalin 's home at the Black Sea .","To what end did Zhou and a Chinese delegation leave for Moscow on October 8th?","In order to enlist Stalin 's support","AmPncQgTemplate"
"On March 31 , 2010 , the YouTube website launched a new design , with the aim of simplifying the interface and increasing the time users spend on the site .","To what end did the YouTube website launch a new design on 31 March 2010?","with the aim of simplifying the interface and increasing the time users spend on the site","AmPncQgTemplate"
"In 1756 Austria was making military preparations for war with Prussia and pursuing an alliance with Russia for this purpose .","To what end is Austria pursuing an alliance with Russia in 1756?","for this purpose","AmPncQgTemplate"
"In mainland China , the Japanese 3rd , 6th , and 40th Divisions massed at Yueyang and advanced southward in three columns and crossed the Xinqiang River , and tried again to cross the Miluo River to reach Changsha .","To what end did Japan's three, six, and forty divisions try again to cross the Miluo River on mainland China?","to reach Changsha","AmPncQgTemplate"
"In mainland China , the Japanese 3rd , 6th , and 40th Divisions massed at Yueyang and advanced southward in three columns and crossed the Xinqiang River , and tried again to cross the Miluo River to reach Changsha .","For what purpose did the Japanese 3rd, 6th and 40th divisions cross the Miluo?","to reach Changsha","AmPncQgTemplate"
"In fact , it has been proposed that we might expect an 88 % reduction in child mortality resulting from diarrheal disease as a result of improved water sanitation and hygiene .","Why does diarrhoea lead to an 88% reduction in child mortality?","as a result of improved water sanitation and hygiene","AmCauQgTemplate"
"After the Doolittle Raid , the Japanese army conducted a massive sweep through Zhejiang and Jiangxi of China , now known as the Zhejiang - Jiangxi Campaign , with the goal of searching out the surviving American airmen , applying retribution on the Chinese who aided them and destroying air bases .","For what purpose did the Japanese army conduct a massive sweep through Zhejiang and Jiangxi of China , now known as the Zhejiang - Jiangxi Campaign after the Doolittle Raid ?","with the goal of searching out the surviving American airmen , applying retribution on the Chinese who aided them and destroying air bases","AmPncQgTemplate"
"On the other hand , the greater the number of traits ( or alleles ) considered , the more subdivisions of humanity are detected , since traits and gene frequencies do not always correspond to the same geographical location .","Why are subdivisions of humanity detected the greater the number of traits ( or alleles ) considered the greater the number of traits ( or alleles ) considered ?","since traits and gene frequencies do not always correspond to the same geographical location","AmCauQgTemplate"
"This was largely due to Plymouth 's status as a major port Charles Church was hit by incendiary bombs and partially destroyed in 1941 during the Blitz , but has not been demolished , as it is now an official permanent monument to the bombing of Plymouth during World War II .","Why has Charles Church been not demolished ?","as it is now an official permanent monument to the bombing of Plymouth during World War II","AmCauQgTemplate"
"Emanuel Swedenborg says God as he is in himself could not directly approach evil spirits to redeem those spirits without destroying them ( Exodus 33:20 , John 1:18 ) , so God impregnated Mary , who gave Jesus Christ access to the evil heredity of the human race , which he could approach , redeem and save .","For what purpose is God as he is in himself could not approach evil spirits directly ?","to redeem those spirits without destroying them","AmPncQgTemplate"
"Despite having a king , Poland was called the nobility 's Commonwealth because the king was elected by all interested members of hereditary nobility and Poland was considered to be the property of this class , not of the king or the ruling dynasty .","Why was Poland called the nobility 's Commonwealth despite having a king ?","because the king was elected by all interested members of hereditary nobility and Poland was considered to be the property of this class , not of the king or the ruling dynasty","AmCauQgTemplate"
"Long - termly , the Anglo - Saxon presence negatively impacted the level of regard Hawaiian royal women held for their own indigenous looks .","For what purpose did Hawaiian royal women hold regard ?","for their own indigenous looks","AmPncQgTemplate"
"The Governor is appointed by the Queen on the advice of the British government .","Why is by the Queen appointed The Governor ?","on the advice of the British government","AmCauQgTemplate"
"The city hosted a Rugby World Cup qualifying match between Canada and the USA on 12 August 2006 , where the Canadians heavily defeated the USA 56 - 7 to qualify for the 2007 Rugby World Cup finals in France .","For what purpose did the Canadians defeat the USA heavily heavily 12 August ?","to qualify for the 2007 Rugby World Cup finals in France","AmPncQgTemplate"
"This capacity had to be reduced further during Champions League matches to accommodate additional advertising boards , so much so that for two seasons , from 1998 to 2000 , Arsenal played Champions League home matches at Wembley , which could house more than 70,000 spectators .","For what purpose be This capacity reduced further so much so that for two seasons , from 1998 to 2000 , Arsenal played Champions League home matches at Wembley , which could house more than 70,000 spectators during Champions League matches ?","to accommodate additional advertising boards","AmPncQgTemplate"
"According to Hong Kong Chief Secretary for Administration Henry Tang , 3,000 police were deployed to ensure order .","For what purpose were 3,000 police deployed according to Hong Kong Chief Secretary for Administration Henry Tang ?","to ensure order","AmPncQgTemplate"
"In 1925 , the English mathematician and philosopher Alfred North Whitehead cautioned : "" The prophecy of Francis Bacon has now been fulfilled ; and man , who at times dreamt of himself as a little lower than the angels , has submitted to become the servant and the minister of nature .","For what purpose has man , who at times dreamt of himself as a little lower than the angels submitted ?","to become the servant and the minister of nature","AmPncQgTemplate"
"These algorithms almost all rely on psychoacoustics to eliminate less audible or meaningful sounds , thereby reducing the space required to store or transmit them .","For what purpose did the space require ?","to store or transmit them","AmPncQgTemplate"
"In response , the Ottoman governor of Cyprus arrested and executed 486 prominent Greek Cypriots , including the Archbishop of Cyprus , Kyprianos and four other bishops .","Why did the Ottoman governor of Cyprus arrest 486 prominent Greek Cypriots , including the Archbishop of Cyprus , Kyprianos and four other bishops ?","In response","AmCauQgTemplate"
"Aircraft which are only passing through the airspace must also contact Tower Control in order to be sure that they remain clear of other traffic .","For what purpose must Aircraft which are only passing through the airspace contact Tower Control also ?","in order to be sure that they remain clear of other traffic","AmPncQgTemplate"
"On 19 July , it was announced that Vilanova was resigning as Barcelona manager because his throat cancer had returned , and he would be receiving treatment for the second time after a three - month medical leave in December 2012 .","Why was Vilanova resigning as Barcelona manager ?","because his throat cancer had returned","AmCauQgTemplate"
"Enrollment at the Lawrence and Edwards campuses was 23,597 students in fall 2014 ; an additional 3,371 students were enrolled at the KU Medical Center for a total enrollment of 26,968 students across the three campuses .","For what purpose were an additional 3,371 students enrolled at the KU Medical Center ?","for a total enrollment of 26,968 students across the three campuses","AmPncQgTemplate"
"At her subsequent trial , the case against Tulisa collapsed at Southwark Crown Court in July 2014 , with the judge commenting that there were "" strong grounds "" to believe that Mahmood had lied at a pre - trial hearing and tried to manipulate evidence against the co - defendant Tulisa .","Why do that Mahmood had lied at a pre - trial hearing and tried to manipulate evidence against the co - defendant Tulisa believe ?",""" strong grounds","AmCauQgTemplate"
"Meanwhile , the Ottoman Sultan negotiated with Mehmet Ali of Egypt , who agreed to send his son Ibrahim Pasha to Greece with an army to suppress the revolt in return for territorial gain .","For what purpose did who send his son Ibrahim Pasha to Greece with an army ?","to suppress the revolt in return for territorial gain","AmPncQgTemplate"
"Meanwhile , the Ottoman Sultan negotiated with Mehmet Ali of Egypt , who agreed to send his son Ibrahim Pasha to Greece with an army to suppress the revolt in return for territorial gain .","For what purpose do the revolt suppress ?","in return for territorial gain","AmPncQgTemplate"
"In January 1944 Estonia was again facing the prospect of invasion from the Red Army and the last legitimate prime minister of the Republic of Estonia ( according to the Constitution of the Republic of Estonia ) delivered a radio address asking all able - bodied men born from 1904 through 1923 to report for military service .","For what purpose did all able - bodied men born from 1904 through 1923 report ?","for military service","AmPncQgTemplate"
"At the same voltage , DC often has less loss than AC , and for this reason high - voltage direct current is already used on some bulk power transmission lines .","Why is high - voltage direct current used on some bulk power transmission lines already ?","for this reason","AmCauQgTemplate"
"He argues in favour of a society organised around a market order , in which the apparatus of state is employed almost ( though not entirely ) exclusively to enforce the legal order ( consisting of abstract rules , and not particular commands ) necessary for a market of free individuals to function .","For what purpose is the apparatus of state employed almost almost almost a market order ?","to enforce the legal order ( consisting of abstract rules , and not particular commands ) necessary for a market of free individuals to function","AmPncQgTemplate"
"Popper coined the term "" critical rationalism "" to describe his philosophy .","For what purpose did Popper coin the term "" critical rationalism "" ?","to describe his philosophy","AmPncQgTemplate"
"He told friends , "" I will do almost anything to avoid turning my chair and country over to Kennedy .","For what purpose will I do almost anything ?","to avoid turning my chair and country over to Kennedy","AmPncQgTemplate"
"The mas bands eventually converge on the Queen 's Park Savannah to pass on "" The Stage "" for judging .","For what purpose do The mas bands converge on the Queen 's Park Savannah eventually ?","to pass on "" The Stage "" for judging","AmPncQgTemplate"
"The mas bands eventually converge on the Queen 's Park Savannah to pass on "" The Stage "" for judging .","For what purpose do The mas bands pass "" The Stage "" ?","for judging","AmPncQgTemplate"
"Government departments , major institutions and international organisations have turned to the iPod line as a delivery mechanism for business communication and training , such as the Royal and Western Infirmaries in Glasgow , Scotland , where iPods are used to train new staff .","For what purpose have Government departments , major institutions and international organisations turned to the iPod line ?","as a delivery mechanism for business communication and training","AmPncQgTemplate"
"Imperial acquired Silwood Park in 1947 , to provide a site for research and teaching in those aspects of biology not well suited for the main London campus .","For what purpose did Imperial acquire Silwood Park in 1947 ?","to provide a site for research and teaching in those aspects of biology not well suited for the main London campus","AmPncQgTemplate"
"When those terms were dropped , as a result of the lobbying by the Southern Congressional bloc , the Census Bureau used only the binary classifications of black or white , as was typical in segregated southern states .","Why did the Census Bureau use only the binary classifications of black or white as was typical in segregated southern states when those terms were dropped ?","as a result of the lobbying by the Southern Congressional bloc","AmCauQgTemplate"
"Instead , the Queen went to Ireland for the first time since 1861 , in part to acknowledge the contribution of Irish regiments to the South African war .","For what purpose did the Queen go to Ireland for the first time since 1861 ?","in part to acknowledge the contribution of Irish regiments to the South African war","AmPncQgTemplate"
"Out of his enthusiastic interest in reaching Tuva came the phrase "" Tuva or Bust "" ( also the title of a book about his efforts to get there ) , which was tossed about frequently amongst his circle of friends in hope that they , one day , could see it firsthand .","For what purpose was the phrase "" Tuva or Bust "" ( also the title of a book about his efforts to get there tossed amongst his circle of friends frequently ?","in hope that they , one day , could see it firsthand","AmPncQgTemplate"
"Alexander appointed an Orontid named Mithranes to govern Armenia .","For what purpose did Alexander appoint an Orontid named Mithranes ?","to govern Armenia","AmPncQgTemplate"
"Thus , when Muhammad actually ( by speech ) and physically ( by way of having his closest companions including Abu Bakr , Umar and Uthman [ the three future Caliphs who had preceded Ali as Caliph ] publicly accept Ali as their Lord and Master by taking Ali 's hand in both of theirs as token of their allegiance to Ali ) transferred this title and manner of addressing Ali as the Mawla for all Muslims at Ghadiri Khum Oasis just a few months before his death , the people that came to look upon Ali as Muhammad 's immediate successor even before Muhamamd 's death came to be known as the Shia .","For what purpose did the people come ?","to look upon Ali as Muhammad 's immediate successor even before Muhamamd 's death","AmPncQgTemplate"
"This led to different treatment for "" black "" and "" half - caste "" individuals , with lighter - skinned individuals targeted for removal from their families to be raised as "" white "" people , restricted from speaking their native language and practising traditional customs , a process now known as the Stolen Generation .","For what purpose did lighter - skinned individuals target ?","for removal from their families","AmPncQgTemplate"
"This led to different treatment for "" black "" and "" half - caste "" individuals , with lighter - skinned individuals targeted for removal from their families to be raised as "" white "" people , restricted from speaking their native language and practising traditional customs , a process now known as the Stolen Generation .","For what purpose did lighter - skinned individuals target ?","for removal from their families","AmPncQgTemplate"
"The use of AC is not feasible because the dimensions of a third rail are physically very large compared with the skin depth that the alternating current penetrates to ( 0 .","Why is The use of AC not is feasible ?","because the dimensions of a third rail are physically very large compared with the skin depth that the alternating current penetrates to ( 0","AmCauQgTemplate"
"Other villages in the Alps are considering becoming car free zones or limiting the number of cars for reasons of sustainability of the fragile Alpine terrain .","Why do Other villages in the Alps limit the number of cars ?","for reasons of sustainability of the fragile Alpine terrain","AmCauQgTemplate"
"The term "" modern "" was coined in the 16th century to indicate present or recent times ( ultimately derived from the Latin adverb modo , meaning "" just now ) .","For what purpose was The term "" modern "" coined in the 16th century ?","to indicate present or recent times ( ultimately derived from the Latin adverb modo , meaning "" just now )","AmPncQgTemplate"
